instance_names,utilizations,tot_energy,noc_energy,dram_energy,comp_energy,memory_peak
Tile,0.7960834635639318,63100.844601612705,1555.4567113125227,61544.267118902826,1.120771397511107,36.3134765625
Tile,0.7980704690228732,63187.165321244414,1575.0055089861055,61611.03848759397,1.1213246645209836,36.5478515625
Tile,0.7952627322167809,62236.24526957891,1538.5724175419198,60696.56811466588,1.10473737129378,36.31103515625
Tile,0.7967594166651251,62304.67788149782,1533.7905780467922,60769.7817692132,1.1055342379682105,36.3134765625
Tile,0.7978137752720673,62439.34924198343,1553.4783978336898,60884.76271343032,1.1081307196301207,36.3134765625
Tile,0.999515519283056,203892.96317691862,2445.734502570977,201444.4320029252,2.796671422348912,139.5703125
Tile,0.8392461972473879,174326.96280143352,2092.0992956696923,172232.4674963228,2.3960094411182316,148.8818359375
Tile,0.8877095535328343,178652.64068981554,2144.2379309263174,176505.94620894146,2.456549948378221,134.62890625
Tile,0.884640282323522,188828.92061727523,2265.1994359200303,186561.1303602818,2.5908210734314623,116.0693359375
Tile,0.8037193601971168,173522.29419268027,2082.132485222028,171437.7782475145,2.38345994361617,144.53369140625
