request_id,request_type,node_id,node_type,runner,start_timestamp,completion_timestamp
7718,2,0,PROMPT,None_0,1.15,1.2126513690947132
7718,2,1,TOKEN,None_35,1.2126514496611194,2.063978060653876
7718,2,2,KVCacheTransfer,DummyLink,1.2126513690947132,1.2126514496611194
7720,2,0,PROMPT,None_3,1.2,1.637042676605808
7720,2,1,TOKEN,None_13,1.6370437744248183,2.697568212347475
7720,2,2,KVCacheTransfer,DummyLink,1.637042676605808,1.6370437744248183
7722,2,0,PROMPT,None_1,1.35,1.9381771529858
7722,2,1,TOKEN,None_6,1.9381786304434823,2.8340570043504796
7722,2,2,KVCacheTransfer,DummyLink,1.9381771529858,1.9381786304434823
7717,2,0,PROMPT,None_2,1.05,1.278247731288054
7717,2,1,TOKEN,None_29,1.2782483217014655,3.360458130826785
7717,2,2,KVCacheTransfer,DummyLink,1.278247731288054,1.2782483217014655
7724,2,0,PROMPT,None_3,2.0,2.364472209919595
7724,2,1,TOKEN,None_21,2.364473125446939,3.944794725059138
7724,2,2,KVCacheTransfer,DummyLink,2.364472209919595,2.364473125446939
7725,2,0,PROMPT,None_0,2.55,2.793348890628959
7725,2,1,TOKEN,None_27,2.7933495201048704,4.009716084973271
7725,2,2,KVCacheTransfer,DummyLink,2.793348890628959,2.7933495201048704
7729,2,0,PROMPT,None_2,2.809515079157162,2.865521606075163
7729,2,1,TOKEN,None_10,2.8655216780966475,4.056997394940139
7729,2,2,KVCacheTransfer,DummyLink,2.865521606075163,2.8655216780966475
7721,2,0,PROMPT,None_0,1.25,1.707291132712452
7721,2,1,TOKEN,None_30,1.7072922813940927,4.186391428765617
7721,2,2,KVCacheTransfer,DummyLink,1.707291132712452,1.7072922813940927
7719,2,0,PROMPT,None_1,1.15,1.2435572311772212
7719,2,1,TOKEN,None_9,1.2435574753178462,4.327114315174172
7719,2,2,KVCacheTransfer,DummyLink,1.2435572311772212,1.2435574753178462
7741,2,0,PROMPT,None_2,3.5,3.556797579558086
7741,2,1,TOKEN,None_18,3.55679772563556,4.580896912131566
7741,2,2,KVCacheTransfer,DummyLink,3.556797579558086,3.55679772563556
7730,2,0,PROMPT,None_0,2.85,3.011236336712788
7730,2,1,TOKEN,None_35,3.011236753786356,4.735354763380419
7730,2,2,KVCacheTransfer,DummyLink,3.011236336712788,3.011236753786356
7728,2,0,PROMPT,None_1,2.7,3.0656061234615675
7728,2,1,TOKEN,None_31,3.0656070418372185,4.821701615317297
7728,2,2,KVCacheTransfer,DummyLink,3.0656061234615675,3.0656070418372185
7727,2,0,PROMPT,None_3,2.7,2.947438787950454
7727,2,1,TOKEN,None_28,2.9474394280057927,4.859614914460634
7727,2,2,KVCacheTransfer,DummyLink,2.947438787950454,2.9474394280057927
7737,2,0,PROMPT,None_2,3.1870647709954403,3.365604519453015
7737,2,1,TOKEN,None_8,3.3656049812856974,4.925468847253323
7737,2,2,KVCacheTransfer,DummyLink,3.365604519453015,3.3656049812856974
7746,2,0,PROMPT,None_2,3.65,4.030346999507204
7746,2,1,TOKEN,None_32,4.03034795491085,5.085421842171118
7746,2,2,KVCacheTransfer,DummyLink,4.030346999507204,4.03034795491085
7735,2,0,PROMPT,None_1,3.1,3.3471241804641854
7735,2,1,TOKEN,None_19,3.347124819705722,5.2592432051536235
7735,2,2,KVCacheTransfer,DummyLink,3.3471241804641854,3.347124819705722
7749,2,0,PROMPT,None_1,4.33998799244033,4.697170758161533
7749,2,1,TOKEN,None_4,4.69717165537833,5.764302939116288
7749,2,2,KVCacheTransfer,DummyLink,4.697170758161533,4.69717165537833
7763,2,0,PROMPT,None_0,4.405598490344471,4.573441584268905
7763,2,1,TOKEN,None_8,4.574486123244418,5.803302004821322
7763,2,2,KVCacheTransfer,DummyLink,4.573441584268905,4.573442018432317
7755,2,0,PROMPT,None_3,4.455504668445564,4.762876182530235
7755,2,1,TOKEN,None_7,4.775944433299215,5.812862795061062
7755,2,2,KVCacheTransfer,DummyLink,4.762876182530235,4.762876255772422
7752,2,0,PROMPT,None_3,4.161189365041051,4.455504668445564
7752,2,1,TOKEN,None_22,4.455505106677986,5.835879242484452
7752,2,2,KVCacheTransfer,DummyLink,4.455504668445564,4.455505106677986
7747,2,0,PROMPT,None_3,4.161189365041051,4.455504668445564
7747,2,1,TOKEN,None_17,4.455504991524991,5.848770977081352
7747,2,2,KVCacheTransfer,DummyLink,4.455504668445564,4.455504991524991
7750,2,0,PROMPT,None_2,4.2117182153411985,4.459314307034787
7750,2,1,TOKEN,None_13,4.459314947497027,6.02670316856225
7750,2,2,KVCacheTransfer,DummyLink,4.459314307034787,4.459314947497027
7764,2,0,PROMPT,None_0,4.573441584268905,4.816790474897864
7764,2,1,TOKEN,None_16,4.831045246398098,6.058649029327699
7764,2,2,KVCacheTransfer,DummyLink,4.816790474897864,4.816791104373776
7761,2,0,PROMPT,None_3,4.455504668445564,4.762876182530235
7761,2,1,TOKEN,None_21,4.762876189447552,6.121240482579229
7761,2,2,KVCacheTransfer,DummyLink,4.762876182530235,4.762876189447552
7765,2,0,PROMPT,None_3,4.762876182530235,4.974292413302905
7765,2,1,TOKEN,None_7,5.117526255165657,6.159614853555827
7765,2,2,KVCacheTransfer,DummyLink,4.974292413302905,4.974292887749519
7748,2,0,PROMPT,None_2,4.030346999507204,4.2117182153411985
7748,2,1,TOKEN,None_14,4.211718287362683,6.254248087665811
7748,2,2,KVCacheTransfer,DummyLink,4.2117182153411985,4.211718287362683
7743,2,0,PROMPT,None_3,3.6310037903446797,4.161189365041051
7743,2,1,TOKEN,None_29,4.16119069682816,6.300148524849895
7743,2,2,KVCacheTransfer,DummyLink,4.161189365041051,4.16119069682816
7736,2,0,PROMPT,None_0,3.2520305006629844,4.244204849888549
7736,2,1,TOKEN,None_5,4.244207342157429,6.501386315424984
7736,2,2,KVCacheTransfer,DummyLink,4.244204849888549,4.244207342157429
7758,2,0,PROMPT,None_1,4.778174548506213,5.06588309469908
7758,2,1,TOKEN,None_4,5.223595129373148,6.636834787686053
7758,2,2,KVCacheTransfer,DummyLink,5.06588309469908,5.065883838921085
7773,2,0,PROMPT,None_2,5.256650864952912,5.765292082351813
7773,2,1,TOKEN,None_27,5.765293360021084,6.654799780653717
7773,2,2,KVCacheTransfer,DummyLink,5.765292082351813,5.765293360021084
7774,2,0,PROMPT,None_3,5.641357551280191,5.852144567080323
7774,2,1,TOKEN,None_10,5.852144640729412,6.703250634195357
