request_ids,response_times,queue_times,ttft_times,tbt_times,nth_token_overheads,prompt_sizes,token_sizes
15626,111.00146484375,0.0,0.9999999999999996,9.166788736979166,0.00146484375,120,12
15776,115.51300048828088,0.0,1.0,9.542750040690073,4.513000488280888,120,12
15831,145.102734375,0.0,1.0,9.606848958333334,4.102734375000026,237,15
15993,135.20498046875,0.0,1.0,9.586070033482143,4.204980468749994,237,14
16155,117.11203613281245,0.0,1.0,9.676003011067705,6.112036132812449,120,12
15825,177.50537109374997,0.0,1.0,9.805853949652777,6.505371093749979,327,18
15926,172.40505371093747,0.0,1.0,9.52250298394097,1.4050537109374517,320,18
15636,231.00111083984376,0.0,1.0,9.583379618326823,0.0011108398437498224,91,24
16019,175.71534423828126,0.0,1.0,9.706408013237848,4.715344238281247,331,18
16300,133.13684082031247,0.0,1.0,9.438345772879462,2.1368408203124716,242,14
16059,176.3048217773438,0.0,1.0,9.739156765407989,5.30482177734379,308,18
16093,178.94167480468755,0.0,1.0,9.885648600260419,7.941674804687551,317,18
16346,151.60533447265627,0.0,1.0,9.412833404541017,0.605334472656267,91,16
16220,180.13360595703125,0.0,1.0,9.951866997612846,9.13360595703125,307,18
16468,158.31601562499992,0.0,1.0,9.832250976562495,7.31601562499992,91,16
16591,132.02009277343748,0.0,1.0,9.358578055245534,1.020092773437483,237,14
16749,120.21314697265643,0.0,1.0,9.934428914388036,9.213146972656432,120,12
16724,134.53149414062491,0.0,1.0,9.537963867187495,3.5314941406249147,237,14
16741,131.41414794921857,0.0,1.0,9.315296282087042,0.4141479492185738,237,14
16861,114.50255126953144,0.0,1.0,9.45854593912762,3.5025512695314376,120,12
16606,176.01602783203128,0.0,1.0,9.723112657335072,5.016027832031284,305,18
16820,131.1051025390625,0.0,1.0,9.293221609933036,0.1051025390625,237,14
16957,113.2011108398437,0.0,1.0,9.350092569986975,2.201110839843693,120,12
16926,132.20220947265625,0.0,1.0,9.371586390904017,1.20220947265625,237,14
16915,136.20480957031253,0.0,1.0,9.657486397879467,5.204809570312534,237,14
15735,363.30289306640617,0.0,1.0,9.791970082875842,2.3028930664061598,1166,37
16939,134.40255126953107,0.0,1.0000000000000284,9.528753662109361,3.4025512695310454,237,14
16812,177.00488281250009,0.0,1.0,9.778049045138893,6.004882812500085,312,18
17006,136.02009277343745,0.0,1.0,9.644292340959819,5.0200927734374545,237,14
17018,135.604736328125,0.0,1.0,9.6146240234375,4.604736328125,237,14
15903,371.01358642578134,0.0,1.0,10.000367200696793,10.013586425781341,1165,37
15964,373.0053344726563,0.0,1.0,9.789614065069902,2.0053344726562727,239,38
17186,115.90273437500002,0.0,1.0,9.575227864583335,4.902734375000023,120,12
17050,180.30537109374995,0.0,1.0,9.96140950520833,9.305371093749955,314,18
17105,175.005078125,0.0,1.0,9.666948784722223,4.005078125000011,305,18
16050,406.8079711914063,0.0,1.0,9.897755394912348,5.807971191406267,1986,41
17133,178.00146484375,0.0,1.0,9.833414713541666,7.00146484375,323,18
15688,471.0004516601563,0.0,1.0,9.791676076253255,0.0004516601562514211,37,48
17159,178.10478515624993,0.0,1.0,9.839154730902774,7.104785156249932,304,18
17439,117.21375732421876,0.0,1.0,9.68447977701823,6.213757324218761,120,12
17484,118.90289306640614,0.0,1.0,9.825241088867179,7.902893066406136,120,12
17301,175.1421386718751,0.0,1.0,9.674563259548616,4.142138671875102,298,18
17322,172.41314697265642,0.0,1.0,9.522952609592023,1.4131469726564205,317,18
17313,177.71534423828126,0.0,1.0,9.817519124348959,6.715344238281261,308,18
17331,180.50510253906248,0.0,1.0,9.972505696614583,9.505102539062477,316,18
17443,158.90505371093747,0.0,1.0,9.869065856933592,7.905053710937466,91,16
15845,496.71284179687495,0.0,1.0,9.914256835937499,5.712841796874976,1471,50
15612,541.0200927734375,0.0,1.0,9.818547141335227,0.020092773437499822,1646,55
15855,506.9153930664063,0.0,1.0,9.919909667968751,5.9153930664062955,1552,51
16053,473.9056030273438,0.0,1.0,9.852200063069661,2.9056030273437443,211,48
16153,458.87249755859375,0.0,1.0,9.953749946925951,7.872497558593778,1330,46
16047,476.83360595703124,0.0,1.0,9.913200124104817,5.833605957031253,1211,48
17716,116.61253662109391,0.0,1.0,9.634378051757826,5.612536621093909,120,12
17479,172.3368408203125,0.0,1.0,9.518713378906249,1.3368408203124886,307,18
17494,171.41602783203132,0.0,1.0,9.467557101779517,0.4160278320313182,314,18
15750,538.8113159179687,0.0,1.0,9.959468813295716,7.811315917968706,224,54
15975,503.20045166015626,0.0,1.0,9.847067679610907,2.2004516601562756,13,51
17860,112.0133544921876,0.0,1.0,9.251112874348967,1.0133544921876023,120,12
17858,116.0001098632813,0.0,1.0,9.583342488606775,5.0001098632812955,120,12
17218,259.91534423828125,0.0,1.0,9.958282470703125,8.91534423828125,1407,26
15941,533.2023315429686,0.0,1.0,9.855598732277198,2.2023315429686576,732,54
16297,478.21239013671857,0.0,1.0,9.94192479451497,7.212390136718568,250,48
17880,120.00507812500001,0.0,1.0,9.91708984375,9.005078125000011,120,12
15768,570.5050659179688,0.0,1.0,9.991316945929276,9.505065917968796,1491,57
16046,525.2120361328125,0.0,1.0,9.890793134581369,4.212036132812457,236,53
15663,591.0026733398437,0.0,1.0,9.833377888997395,0.0026733398437492895,219,60
16589,436.3051025390625,0.0,1.0,9.893297784978692,5.305102539062489,3855,44
15634,601.0725341796875,0.0,1.0,9.837254658683403,0.07253417968749964,5942,61
16329,490.9135864257813,0.0,1.0,9.998236457669007,9.913586425781347,1850,49
17974,116.11259765624965,0.0,1.0,9.592716471354137,5.112597656249648,120,12
16363,485.6421386718751,0.0,1.0,9.890655891262757,4.642138671875088,5501,49
