model,hardware,prompt_size,batch_size,token_size,peak_power,average_power,prompt_time,token_time,e2e_time,tensor_parallel
llama2-70b,h100-80gb,256,1,128,0,0,60.44706696,30.02527555,3876.645327,4
llama2-70b,h100-80gb,256,1,128,0,0,49.75370097,30.09479355,3874.76778,4
llama2-70b,h100-80gb,256,1,128,0,0,50.97658403,30.06956022,3872.691154,4
llama2-70b,a100-80gb,512,1,128,1.0023625,0.59930625,126.898329,44.31801987,5758.188963,4
llama2-70b,a100-80gb,512,1,128,1.0023625,0.59930625,127.5052431,44.61435684,5796.393633,4
llama2-70b,a100-80gb,512,1,128,1.0023625,0.59930625,126.9623409,44.99127213,5843.802214,4
llama2-70b,a100-80gb,512,1,128,1.0023625,0.59930625,127.2198919,45.28371266,5881.113052,4
llama2-70b,a100-80gb,512,1,128,1.0023625,0.59930625,126.85528,45.58825008,5919.335127,4
llama2-70b,h100-80gb,512,1,128,0,0,59.55572199,29.76230504,3842.522621,4
llama2-70b,h100-80gb,512,1,128,0,0,59.717,29.26659483,3779.806376,4
llama2-70b,h100-80gb,512,1,128,0,0,59.61944204,29.73865488,3839.799881,4
llama2-70b,h100-80gb,512,1,128,0,0,59.74865297,29.54404005,3815.213203,4
llama2-70b,h100-80gb,512,1,128,0,0,59.25266497,29.71806373,3836.778879,4
llama2-70b,a100-80gb,1024,1,128,1.00874375,0.5864375,226.69404,44.87242432,5929.417133,4
llama2-70b,a100-80gb,1024,1,128,1.00874375,0.5864375,241.46856,44.94842931,5953.642368,4
llama2-70b,a100-80gb,1024,1,128,1.00874375,0.5864375,228.4208061,44.51732011,5885.699749,4
llama2-70b,a100-80gb,1024,1,128,1.00874375,0.5864375,227.014896,45.1221549,5960.990667,4
llama2-70b,a100-80gb,1024,1,128,1.00874375,0.5864375,227.083212,45.23497919,5975.461721,4
llama2-70b,h100-80gb,1024,1,128,0,0,105.112133,29.44145439,3848.381996,4
llama2-70b,h100-80gb,1024,1,128,0,0,105.671527,29.05850752,3800.34256,4
llama2-70b,h100-80gb,1024,1,128,0,0,110.075885,29.20395387,3823.511124,4
llama2-70b,h100-80gb,1024,1,128,0,0,105.611606,29.47774665,3853.651047,4
llama2-70b,h100-80gb,1024,1,128,0,0,105.099029,29.44406731,3848.553658,4
llama2-70b,a100-80gb,2048,1,128,1.0156875,0.5886125,402.211705,44.98261866,6121.073723,4
llama2-70b,a100-80gb,2048,1,128,1.0156875,0.5886125,402.7616421,45.0165921,6125.882626,4
llama2-70b,a100-80gb,2048,1,128,1.0156875,0.5886125,403.3335389,45.3015474,6162.474155,4
llama2-70b,a100-80gb,2048,1,128,1.0156875,0.5886125,404.347975,44.76767457,6095.693827,4
llama2-70b,a100-80gb,2048,1,128,1.0156875,0.5886125,403.8436241,44.49845881,6060.858965,4
llama2-70b,h100-80gb,2048,1,128,0,0,198.183442,29.81551326,3991.615772,4
llama2-70b,h100-80gb,2048,1,128,0,0,204.808647,29.64199596,3976.167202,4
llama2-70b,h100-80gb,2048,1,128,0,0,200.751414,29.88514058,4003.107548,4
llama2-70b,h100-80gb,2048,1,128,0,0,200.22028,29.809415,3993.030787,4
llama2-70b,h100-80gb,2048,1,128,0,0,200.680661,29.99957557,4017.067909,4
llama2-70b,a100-80gb,4096,1,128,1.04798125,0.51665,986.9211169,46.38588764,6889.695406,4
llama2-70b,a100-80gb,4096,1,128,1.04798125,0.51665,1006.421026,46.22674215,6888.290644,4
llama2-70b,a100-80gb,4096,1,128,1.04798125,0.51665,957.4695779,46.27864721,6846.149921,4
llama2-70b,a100-80gb,4096,1,128,1.04798125,0.51665,932.379527,46.52762862,6852.463484,4
llama2-70b,a100-80gb,4096,1,128,1.04798125,0.51665,965.150055,46.3745728,5613.843679,4
llama2-70b,h100-80gb,4096,1,128,0,0,481.018523,29.54607635,4248.860121,4
llama2-70b,h100-80gb,4096,1,128,0,0,463.068563,29.59427714,4236.78112,4
llama2-70b,h100-80gb,4096,1,128,0,0,460.168232,29.58432191,4232.3668,4
llama2-70b,h100-80gb,4096,1,128,0,0,463.455048,29.61544024,4239.674807,4
llama2-70b,h100-80gb,4096,1,128,0,0,464.275471,29.33796257,3412.748575,4
llama2-70b,a100-80gb,8192,1,128,0.98399375,0.172475,2278.451398,45.70976507,8113.870382,4
llama2-70b,a100-80gb,8192,1,128,0.98399375,0.172475,2215.553096,46.18055345,8110.574961,4
llama2-70b,a100-80gb,8192,1,128,0.98399375,0.172475,2482.809549,46.08206721,8365.931273,4
llama2-70b,a100-80gb,8192,1,128,0.98399375,0.172475,2440.541921,46.05910524,8319.600344,4
llama2-70b,a100-80gb,8192,1,128,0.98399375,0.172475,2249.493922,45.60659911,8071.246386,4
llama2-70b,h100-80gb,8192,1,128,0,0,907.667077,29.39988477,4683.376074,4
llama2-70b,h100-80gb,8192,1,128,0,0,942.228629,29.79928274,4767.53068,4
llama2-70b,h100-80gb,8192,1,128,0,0,953.581633,29.52718886,4748.109818,4
llama2-70b,h100-80gb,8192,1,128,0,0,956.426821,29.71826594,4772.905588,4
llama2-70b,h100-80gb,8192,1,128,0,0,956.4789,29.74443998,4774.424791,4
llama2-70b,a100-80gb,512,1,128,1.0023625,0.59930625,126.898329,44.31801987,5758.188963,4
llama2-70b,a100-80gb,512,1,128,1.0023625,0.59930625,127.5052431,44.61435684,5796.393633,4
llama2-70b,a100-80gb,512,1,128,1.0023625,0.59930625,126.9623409,44.99127213,5843.802214,4
llama2-70b,a100-80gb,512,1,128,1.0023625,0.59930625,127.2198919,45.28371266,5881.113052,4
llama2-70b,a100-80gb,512,1,128,1.0023625,0.59930625,126.85528,45.58825008,5919.335127,4
llama2-70b,h100-80gb,512,1,128,0,0,59.55572199,29.76230504,3842.522621,4
llama2-70b,h100-80gb,512,1,128,0,0,59.717,29.26659483,3779.806376,4
llama2-70b,h100-80gb,512,1,128,0,0,59.61944204,29.73865488,3839.799881,4
llama2-70b,h100-80gb,512,1,128,0,0,59.74865297,29.54404005,3815.213203,4
llama2-70b,h100-80gb,512,1,128,0,0,59.25266497,29.71806373,3836.778879,4
llama2-70b,a100-80gb,512,1,256,0,0,127.5784271,44.50684213,11481.78363,4
llama2-70b,a100-80gb,512,1,256,0,0,128.475419,44.41492896,11459.12981,4
llama2-70b,a100-80gb,512,1,256,0,0,127.0599511,44.18193785,11397.94207,4
llama2-70b,a100-80gb,512,1,256,0,0,127.0168,44.59061937,11501.90091,4
llama2-70b,a100-80gb,512,1,256,0,0,126.75316,44.69450192,10723.37222,4
llama2-70b,h100-80gb,512,1,256,0,0,59.36281203,28.48043075,7327.466011,4
llama2-70b,h100-80gb,512,1,256,0,0,59.73166699,28.39826166,7306.672096,4
llama2-70b,h100-80gb,512,1,256,0,0,59.45910304,28.3781302,7301.256657,4
llama2-70b,h100-80gb,512,1,256,0,0,59.13425999,28.36805964,7298.289061,4
llama2-70b,h100-80gb,512,1,256,0,0,60.148569,28.40376749,6796.959639,4
llama2-70b,a100-80gb,512,1,512,0,0,126.905375,44.20070618,22721.18521,4
llama2-70b,a100-80gb,512,1,512,0,0,137.0676521,44.44106078,20364.74466,4
llama2-70b,a100-80gb,512,1,512,0,0,126.545692,44.47984529,22863.23643,4
llama2-70b,a100-80gb,512,1,512,0,0,126.338822,44.8211707,12636.21759,4
llama2-70b,a100-80gb,512,1,512,0,0,126.816763,44.64950486,22949.99266,4
llama2-70b,h100-80gb,512,1,512,0,0,60.46427303,29.33533639,15060.79745,4
llama2-70b,h100-80gb,512,1,512,0,0,60.191161,29.32421068,15054.57807,4
llama2-70b,h100-80gb,512,1,512,0,0,63.92879196,29.28037068,9527.930975,4
llama2-70b,h100-80gb,512,1,512,0,0,59.28606697,29.28888969,8441.708803,4
llama2-70b,h100-80gb,512,1,512,0,0,72.22921902,29.39432161,14455.48344,4
llama2-70b,a100-80gb,512,1,1024,0,0,126.948635,44.02620057,30779.15525,4
llama2-70b,a100-80gb,512,1,1024,0,0,126.534851,44.41883526,33051.89204,4
llama2-70b,a100-80gb,512,1,1024,0,0,127.022679,44.38352575,21660.57682,4
llama2-70b,a100-80gb,512,1,1024,0,0,127.927242,44.34529825,25945.40095,4
llama2-70b,a100-80gb,512,1,1024,0,0,126.480875,44.3749802,16151.58558,4
llama2-70b,h100-80gb,512,1,1024,0,0,69.48379404,29.32932248,6849.702358,4
llama2-70b,h100-80gb,512,1,1024,0,0,59.689491,29.33389734,13268.76998,4
llama2-70b,h100-80gb,512,1,1024,0,0,59.31369099,29.37174663,18163.95497,4
llama2-70b,h100-80gb,512,1,1024,0,0,58.54990601,29.46007979,21843.63055,4
llama2-70b,h100-80gb,512,1,1024,0,0,59.56100696,29.3298263,29965.10649,4
llama2-70b,a100-80gb,512,1,2048,0,0,128.182204,44.64587208,31211.87043,4
llama2-70b,a100-80gb,512,1,2048,0,0,127.8078391,44.49561494,33109.47537,4
llama2-70b,a100-80gb,512,1,2048,0,0,127.1358191,44.46895541,21701.97487,4
llama2-70b,a100-80gb,512,1,2048,0,0,127.134622,44.51529473,26043.41245,4
llama2-70b,a100-80gb,512,1,2048,0,0,127.0730541,44.46493436,16184.47781,4
llama2-70b,h100-80gb,512,1,2048,0,0,59.516304,29.12455593,6792.416096,4
llama2-70b,h100-80gb,512,1,2048,0,0,69.77253704,29.30276299,13264.89735,4
llama2-70b,h100-80gb,512,1,2048,0,0,59.08058997,29.32600656,18135.77175,4
llama2-70b,h100-80gb,512,1,2048,0,0,67.25921296,29.46765889,21857.76758,4
llama2-70b,h100-80gb,512,1,2048,0,0,59.71361097,29.36893851,30005.37181,4
llama2-70b,a100-80gb,512,1,4096,0,0,127.0093729,42.92308232,30011.26027,4
llama2-70b,a100-80gb,512,1,4096,0,0,126.971359,43.18892663,32140.56897,4
llama2-70b,a100-80gb,512,1,4096,0,0,133.744783,43.34158513,21161.83186,4
llama2-70b,a100-80gb,512,1,4096,0,0,126.623649,43.47844391,25439.55421,4
llama2-70b,a100-80gb,512,1,4096,0,0,127.4721321,43.87308036,15971.40837,4
llama2-70b,h100-80gb,512,1,4096,0,0,60.41199504,29.80306989,6950.341225,4
llama2-70b,h100-80gb,512,1,4096,0,0,60.28489803,29.70063566,13434.38482,4
llama2-70b,h100-80gb,512,1,4096,0,0,67.034851,29.75007716,18404.69503,4
llama2-70b,h100-80gb,512,1,4096,0,0,70.41489001,29.76938157,22083.65774,4
llama2-70b,h100-80gb,512,1,4096,0,0,59.88114199,29.79892776,30443.74514,4
llama2-70b,a100-80gb,512,1,8192,0,0,126.912139,44.63968942,31206.57229,4
llama2-70b,a100-80gb,512,1,8192,0,0,127.041977,44.78245718,33321.27094,4
llama2-70b,a100-80gb,512,1,8192,0,0,126.890097,44.73891203,21832.72862,4
llama2-70b,a100-80gb,512,1,8192,0,0,126.7611569,44.92494497,26281.46386,4
llama2-70b,a100-80gb,512,1,8192,0,0,126.949753,45.0070291,16380.00131,4
llama2-70b,h100-80gb,512,1,8192,0,0,59.89227002,29.40139163,6857.00798,4
llama2-70b,h100-80gb,512,1,8192,0,0,59.67757001,29.36749521,13284.65223,4
llama2-70b,h100-80gb,512,1,8192,0,0,59.97669999,29.4685635,18225.29769,4
llama2-70b,h100-80gb,512,1,8192,0,0,59.41764603,29.3799839,21786.21864,4
llama2-70b,h100-80gb,512,1,8192,0,0,60.37429901,29.3622862,30001.02019,4
llama2-70b,a100-80gb,512,1,128,0.748775,0.434925,94.41493987,44.84348871,5792.414188,8
llama2-70b,a100-80gb,512,1,128,0.748775,0.434925,94.31009996,44.78259826,5784.522295,8
llama2-70b,a100-80gb,512,1,128,0.748775,0.434925,103.891863,44.85229567,5803.029537,8
llama2-70b,a100-80gb,512,1,128,0.748775,0.434925,92.83238696,45.09566397,5822.993755,8
llama2-70b,a100-80gb,512,1,128,0.748775,0.434925,93.17487897,44.99552164,5810.368776,8
llama2-70b,h100-80gb,512,1,128,0,0,54.473956,29.76191055,3837.671757,8
llama2-70b,h100-80gb,512,1,128,0,0,53.159823,29.79427143,3840.522051,8
llama2-70b,h100-80gb,512,1,128,0,0,53.38563299,29.76339518,3836.827278,8
llama2-70b,h100-80gb,512,1,128,0,0,53.34229302,29.48888961,3801.809549,8
llama2-70b,h100-80gb,512,1,128,0,0,68.89664201,29.67986396,3841.404438,8
llama2-70b,a100-80gb,512,2,128,0.763065625,0.42805625,165.715085,44.68726582,5844.436169,8
llama2-70b,a100-80gb,512,2,128,0.763065625,0.42805625,165.941189,44.33582302,5800.017595,8
llama2-70b,a100-80gb,512,2,128,0.763065625,0.42805625,169.779478,44.48168036,5822.681904,8
llama2-70b,a100-80gb,512,2,128,0.763065625,0.42805625,165.979558,44.55858932,5828.601599,8
llama2-70b,a100-80gb,512,2,128,0.763065625,0.42805625,165.908207,44.56458105,5829.108477,8
llama2-70b,h100-80gb,512,2,128,0,0,76.86513697,30.40832407,3942.625999,8
llama2-70b,h100-80gb,512,2,128,0,0,76.88718801,30.38591529,3939.727068,8
llama2-70b,h100-80gb,512,2,128,0,0,77.81574002,30.2616507,3925.029039,8
llama2-70b,h100-80gb,512,2,128,0,0,76.29359898,29.71528429,3853.868723,8
llama2-70b,h100-80gb,512,2,128,0,0,78.64471001,29.87875968,3876.800537,8
llama2-70b,a100-80gb,512,4,128,0.918678125,0.437779688,291.917613,45.79184104,6112.217903,8
llama2-70b,a100-80gb,512,4,128,0.918678125,0.437779688,293.338694,45.93287817,6131.519079,8
llama2-70b,a100-80gb,512,4,128,0.918678125,0.437779688,292.284393,45.83150246,6117.707253,8
llama2-70b,a100-80gb,512,4,128,0.918678125,0.437779688,290.843341,45.70988112,6100.734472,8
llama2-70b,a100-80gb,512,4,128,0.918678125,0.437779688,292.3847489,45.63603298,6092.899084,8
llama2-70b,h100-80gb,512,4,128,0,0,132.700173,31.61157484,4152.240992,8
llama2-70b,h100-80gb,512,4,128,0,0,133.177166,31.63913262,4156.068563,8
llama2-70b,h100-80gb,512,4,128,0,0,132.629566,31.78618737,4174.33548,8
llama2-70b,h100-80gb,512,4,128,0,0,131.90335,31.95386684,4194.752216,8
llama2-70b,h100-80gb,512,4,128,0,0,132.64069,31.98894769,4200.000048,8
llama2-70b,a100-80gb,512,8,128,0.971496875,0.433978125,754.217489,46.35394595,6648.821354,8
llama2-70b,a100-80gb,512,8,128,0.971496875,0.433978125,767.6181559,45.84484089,6597.369671,8
llama2-70b,a100-80gb,512,8,128,0.971496875,0.433978125,768.8271699,46.46500312,6677.397013,8
llama2-70b,a100-80gb,512,8,128,0.971496875,0.433978125,758.206949,47.06029102,6742.600203,8
llama2-70b,a100-80gb,512,8,128,0.971496875,0.433978125,773.6872691,46.78923656,6723.829031,8
llama2-70b,h100-80gb,512,8,128,0,0,380.800985,31.63485825,4405.323505,8
llama2-70b,h100-80gb,512,8,128,0,0,364.408745,33.0363087,4566.596746,8
llama2-70b,h100-80gb,512,8,128,0,0,371.630298,32.62840402,4521.896601,8
llama2-70b,h100-80gb,512,8,128,0,0,371.262934,32.50375599,4505.544424,8
llama2-70b,h100-80gb,512,8,128,0,0,399.969556,32.32766917,4512.1243,8
llama2-70b,a100-80gb,512,16,128,0.99524375,0.458421875,1973.759779,50.43538324,8391.902208,8
llama2-70b,a100-80gb,512,16,128,0.99524375,0.458421875,2114.140335,50.53152115,8544.471502,8
llama2-70b,a100-80gb,512,16,128,0.99524375,0.458421875,2052.180621,50.54623415,8484.322548,8
llama2-70b,a100-80gb,512,16,128,0.99524375,0.458421875,2084.405111,50.27098264,8481.842995,8
llama2-70b,a100-80gb,512,16,128,0.99524375,0.458421875,2093.1688,50.41647621,8508.763075,8
llama2-70b,h100-80gb,512,16,128,0,0,811.928171,33.73505722,5106.389999,8
llama2-70b,h100-80gb,512,16,128,0,0,789.554363,34.06778156,5126.460791,8
llama2-70b,h100-80gb,512,16,128,0,0,835.908877,34.16630925,5185.381889,8
llama2-70b,h100-80gb,512,16,128,0,0,769.897153,34.35157508,5142.549753,8
llama2-70b,h100-80gb,512,16,128,0,0,819.526035,34.5129216,5212.767363,8
llama2-70b,a100-80gb,512,32,128,0,0,3152.751766,52.72833075,9872.840166,8
llama2-70b,a100-80gb,512,32,128,0,0,4170.946777,53.95667555,11046.80419,8
llama2-70b,a100-80gb,512,32,128,0,0,3524.541454,53.12508225,10295.11905,8
llama2-70b,a100-80gb,512,32,128,0,0,3608.767015,52.98022214,10360.47149,8
llama2-70b,a100-80gb,512,32,128,0,0,3190.420235,53.01698395,9946.885109,8
llama2-70b,h100-80gb,512,32,128,0,0,1561.892637,38.97073936,6529.082775,8
llama2-70b,h100-80gb,512,32,128,0,0,1554.090981,38.6193506,6476.682425,8
llama2-70b,h100-80gb,512,32,128,0,0,1551.726161,39.86861544,6633.005619,8
llama2-70b,h100-80gb,512,32,128,0,0,1547.313245,38.57089223,6463.831186,8
llama2-70b,h100-80gb,512,32,128,0,0,1533.996971,38.26336721,6411.119938,8
llama2-70b,a100-80gb,512,64,128,0,0,8739.619402,70.15321798,17695.73498,8
llama2-70b,a100-80gb,512,64,128,0,0,7553.992662,73.11790203,16886.51729,8
llama2-70b,a100-80gb,512,64,128,0,0,6951.59406,71.60514767,16091.57634,8
llama2-70b,a100-80gb,512,64,128,0,0,7305.105917,72.00043888,16495.7633,8
llama2-70b,a100-80gb,512,64,128,0,0,7626.023375,69.42944399,16489.33625,8
llama2-70b,h100-80gb,512,64,128,0,0,2993.775064,50.9745545,9501.822472,8
llama2-70b,h100-80gb,512,64,128,0,0,2914.403248,50.16084561,9319.285631,8
llama2-70b,h100-80gb,512,64,128,0,0,2948.527943,50.67047216,9416.77928,8
llama2-70b,h100-80gb,512,64,128,0,0,2915.515999,47.97164526,9040.988445,8
llama2-70b,h100-80gb,512,64,128,0,0,2936.329718,50.15949685,9337.701082,8
llama2-70b,a100-80gb,128,1,128,0.4604625,0.435275,65.13794791,42.92021764,5518.458605,8
llama2-70b,a100-80gb,128,1,128,0.4604625,0.435275,65.53922687,42.75312004,5497.581005,8
llama2-70b,a100-80gb,128,1,128,0.4604625,0.435275,65.34724007,43.11913585,5543.767929,8
llama2-70b,a100-80gb,128,1,128,0.4604625,0.435275,64.08533803,43.03125889,5531.137466,8
llama2-70b,a100-80gb,128,1,128,0.4604625,0.435275,65.37348917,43.39621505,5578.75967,8
llama2-70b,h100-80gb,128,1,128,0,0,59.82701696,29.87266007,3856.841564,8
llama2-70b,h100-80gb,128,1,128,0,0,48.39141696,29.83819087,3840.727568,8
llama2-70b,h100-80gb,128,1,128,0,0,58.18541598,30.09794084,3883.305073,8
llama2-70b,h100-80gb,128,1,128,0,0,60.70199999,29.83607999,3852.660656,8
llama2-70b,h100-80gb,128,1,128,0,0,49.38628303,30.49242718,3924.930811,8
llama2-70b,a100-80gb,256,1,128,0.657809375,0.429959375,67.77533912,42.97898785,5528.788328,8
llama2-70b,a100-80gb,256,1,128,0.657809375,0.429959375,66.75650901,43.48343788,5591.968298,8
llama2-70b,a100-80gb,256,1,128,0.657809375,0.429959375,66.44736696,43.97206997,5653.585196,8
llama2-70b,a100-80gb,256,1,128,0.657809375,0.429959375,68.301928,43.75341917,5627.587795,8
llama2-70b,a100-80gb,256,1,128,0.657809375,0.429959375,65.9898459,43.19175304,5553.733349,8
llama2-70b,h100-80gb,256,1,128,0,0,51.65851099,28.54433828,3679.729462,8
llama2-70b,h100-80gb,256,1,128,0,0,50.19188597,27.89943982,3596.404552,8
llama2-70b,h100-80gb,256,1,128,0,0,51.62108399,28.26655323,3644.498825,8
llama2-70b,h100-80gb,256,1,128,0,0,52.030147,28.89409265,3724.543095,8
llama2-70b,h100-80gb,256,1,128,0,0,57.02754,28.21548777,3643.296242,8
llama2-70b,a100-80gb,512,1,128,0.748775,0.434925,94.41493987,44.84348871,5792.414188,8
llama2-70b,a100-80gb,512,1,128,0.748775,0.434925,94.31009996,44.78259826,5784.522295,8
llama2-70b,a100-80gb,512,1,128,0.748775,0.434925,103.891863,44.85229567,5803.029537,8
llama2-70b,a100-80gb,512,1,128,0.748775,0.434925,92.83238696,45.09566397,5822.993755,8
llama2-70b,a100-80gb,512,1,128,0.748775,0.434925,93.17487897,44.99552164,5810.368776,8
llama2-70b,h100-80gb,512,1,128,0,0,54.473956,29.76191055,3837.671757,8
llama2-70b,h100-80gb,512,1,128,0,0,53.159823,29.79427143,3840.522051,8
llama2-70b,h100-80gb,512,1,128,0,0,53.38563299,29.76339518,3836.827278,8
llama2-70b,h100-80gb,512,1,128,0,0,53.34229302,29.48888961,3801.809549,8
llama2-70b,h100-80gb,512,1,128,0,0,68.89664201,29.67986396,3841.404438,8
llama2-70b,a100-80gb,1024,1,128,0.744271875,0.43030625,154.4580772,44.49990377,5809.967995,8
llama2-70b,a100-80gb,1024,1,128,0.744271875,0.43030625,154.6672559,44.34671717,5790.639162,8
llama2-70b,a100-80gb,1024,1,128,0.744271875,0.43030625,156.0049769,44.96614447,5870.510101,8
llama2-70b,a100-80gb,1024,1,128,0.744271875,0.43030625,154.3932131,45.06257433,5880.904198,8
llama2-70b,a100-80gb,1024,1,128,0.744271875,0.43030625,153.5798018,45.02745878,5875.703096,8
llama2-70b,h100-80gb,1024,1,128,0,0,77.42019999,29.68440536,3850.716114,8
llama2-70b,h100-80gb,1024,1,128,0,0,79.76204896,29.74028846,3860.620737,8
llama2-70b,h100-80gb,1024,1,128,0,0,78.88381102,29.46663461,3824.484825,8
llama2-70b,h100-80gb,1024,1,128,0,0,77.55199895,30.06722572,3899.932623,8
llama2-70b,h100-80gb,1024,1,128,0,0,77.91327802,30.13753804,3909.415245,8
llama2-70b,a100-80gb,2048,1,128,0.98930625,0.436717188,274.3628731,45.08808461,6006.159782,8
llama2-70b,a100-80gb,2048,1,128,0.98930625,0.436717188,274.222353,45.17322341,6016.897678,8
llama2-70b,a100-80gb,2048,1,128,0.98930625,0.436717188,273.8796331,45.43663056,6049.99876,8
llama2-70b,a100-80gb,2048,1,128,0.98930625,0.436717188,273.7583199,45.68467229,6081.236601,8
llama2-70b,a100-80gb,2048,1,128,0.98930625,0.436717188,274.5757189,46.17220247,6143.859625,8
llama2-70b,h100-80gb,2048,1,128,0,0,136.9285129,31.6306524,4160.524368,8
llama2-70b,h100-80gb,2048,1,128,0,0,136.80067,31.72412348,4172.935486,8
llama2-70b,h100-80gb,2048,1,128,0,0,135.66924,31.04783789,4085.478783,8
llama2-70b,h100-80gb,2048,1,128,0,0,136.797355,30.86567606,4063.333511,8
llama2-70b,h100-80gb,2048,1,128,0,0,136.684893,30.86843765,4063.742399,8
llama2-70b,a100-80gb,4096,1,128,1.002371875,0.387303125,634.3546729,46.56507675,6559.862614,8
llama2-70b,a100-80gb,4096,1,128,1.002371875,0.387303125,661.222436,46.48172382,6577.08168,8
llama2-70b,a100-80gb,4096,1,128,1.002371875,0.387303125,662.492601,46.38575949,6565.056086,8
llama2-70b,a100-80gb,4096,1,128,1.002371875,0.387303125,636.792649,46.29731726,6528.485775,8
llama2-70b,a100-80gb,4096,1,128,1.002371875,0.387303125,661.7797499,46.57912038,5331.452847,8
llama2-70b,h100-80gb,4096,1,128,0,0,418.578679,30.32283552,4284.865141,8
llama2-70b,h100-80gb,4096,1,128,0,0,368.834071,30.56068584,4265.449286,8
llama2-70b,h100-80gb,4096,1,128,0,0,390.290828,30.33856923,4258.655787,8
llama2-70b,h100-80gb,4096,1,128,0,0,322.070794,30.58689015,4221.65823,8
llama2-70b,h100-80gb,4096,1,128,0,0,393.464462,31.02337393,3510.730982,8
llama2-70b,a100-80gb,8192,1,128,0.953425,0.17321875,1588.173782,46.51014871,7528.54991,8
llama2-70b,a100-80gb,8192,1,128,0.953425,0.17321875,1549.819661,46.61383354,7501.422405,8
llama2-70b,a100-80gb,8192,1,128,0.953425,0.17321875,1560.145879,46.41034731,7485.470295,8
llama2-70b,a100-80gb,8192,1,128,0.953425,0.17321875,1500.840395,45.91418635,7365.147591,8
llama2-70b,a100-80gb,8192,1,128,0.953425,0.17321875,1522.843439,46.67058934,7479.726791,8
llama2-70b,h100-80gb,8192,1,128,0,0,827.062267,31.44960026,4865.450144,8
llama2-70b,h100-80gb,8192,1,128,0,0,876.950815,31.43918712,4912.92572,8
llama2-70b,h100-80gb,8192,1,128,0,0,844.885272,31.33260862,4867.399693,8
llama2-70b,h100-80gb,8192,1,128,0,0,841.819921,31.41247395,4874.608994,8
llama2-70b,h100-80gb,8192,1,128,0,0,851.191697,31.22391778,4859.568834,8
llama2-70b,a100-80gb,512,1,128,0.748775,0.434925,94.41493987,44.84348871,5792.414188,8
llama2-70b,a100-80gb,512,1,128,0.748775,0.434925,94.31009996,44.78259826,5784.522295,8
llama2-70b,a100-80gb,512,1,128,0.748775,0.434925,103.891863,44.85229567,5803.029537,8
llama2-70b,a100-80gb,512,1,128,0.748775,0.434925,92.83238696,45.09566397,5822.993755,8
llama2-70b,a100-80gb,512,1,128,0.748775,0.434925,93.17487897,44.99552164,5810.368776,8
llama2-70b,h100-80gb,512,1,128,0,0,54.473956,29.76191055,3837.671757,8
llama2-70b,h100-80gb,512,1,128,0,0,53.159823,29.79427143,3840.522051,8
llama2-70b,h100-80gb,512,1,128,0,0,53.38563299,29.76339518,3836.827278,8
llama2-70b,h100-80gb,512,1,128,0,0,53.34229302,29.48888961,3801.809549,8
llama2-70b,h100-80gb,512,1,128,0,0,68.89664201,29.67986396,3841.404438,8
llama2-70b,a100-80gb,512,1,256,0,0,93.40615198,45.74747168,11763.59701,8
llama2-70b,a100-80gb,512,1,256,0,0,92.73171902,45.63312404,11733.64973,8
llama2-70b,a100-80gb,512,1,256,0,0,92.72280894,46.1085951,11854.91729,8
llama2-70b,a100-80gb,512,1,256,0,0,94.40465202,46.15044883,11867.22732,8
llama2-70b,a100-80gb,512,1,256,0,0,92.83419105,45.9033941,10975.97408,8
llama2-70b,h100-80gb,512,1,256,0,0,54.71376004,31.65896343,8133.632898,8
llama2-70b,h100-80gb,512,1,256,0,0,54.11062698,31.56436681,8109.007597,8
llama2-70b,h100-80gb,512,1,256,0,0,52.920321,31.51261922,8094.793558,8
llama2-70b,h100-80gb,512,1,256,0,0,53.95032302,31.26876053,8033.231735,8
llama2-70b,h100-80gb,512,1,256,0,0,53.42870101,31.38026331,7496.044397,8
llama2-70b,a100-80gb,512,1,512,0,0,92.82840998,44.71940171,12306.27418,8
llama2-70b,a100-80gb,512,1,512,0,0,92.99694304,44.85464011,13599.63346,8
llama2-70b,a100-80gb,512,1,512,0,0,92.97234006,44.98672563,15124.29738,8
llama2-70b,a100-80gb,512,1,512,0,0,92.75056608,44.99136355,23091.90845,8
llama2-70b,a100-80gb,512,1,512,0,0,92.53254696,45.58266863,17510.99563,8
llama2-70b,h100-80gb,512,1,512,0,0,55.36824698,30.01667715,8255.714893,8
llama2-70b,h100-80gb,512,1,512,0,0,54.28590596,30.37823645,15587.04853,8
llama2-70b,h100-80gb,512,1,512,0,0,51.48250004,30.66608599,15731.64392,8
llama2-70b,h100-80gb,512,1,512,0,0,53.21380595,30.6579186,15729.82931,8
llama2-70b,h100-80gb,512,1,512,0,0,53.82882903,30.74137575,5038.01322,8
llama2-70b,a100-80gb,512,1,1024,0,0,93.15213503,44.31194425,10333.81462,8
llama2-70b,a100-80gb,512,1,1024,0,0,93.27823902,44.57875031,29793.6089,8
llama2-70b,a100-80gb,512,1,1024,0,0,97.35794109,44.90877467,25794.69514,8
llama2-70b,a100-80gb,512,1,1024,0,0,93.36030798,45.05801645,29301.3494,8
llama2-70b,a100-80gb,512,1,1024,0,0,92.59993199,44.76066068,30271.11936,8
llama2-70b,h100-80gb,512,1,1024,0,0,54.81586896,31.89515849,5385.483503,8
llama2-70b,h100-80gb,512,1,1024,0,0,53.936938,31.85711003,18415.16447,8
