model,hardware,prompt_size,batch_size,token_size,peak_power,average_power,prompt_time,token_time,e2e_time,tensor_parallel
llama2-70b,h100-80gb,512,32,128,0,0,2390.859555,52.25682522,9044.612169,2
llama2-70b,h100-80gb,512,32,128,0,0,2398.42653,52.35906405,9063.799858,2
llama2-70b,a100-80gb,512,64,128,0,0,802.006906,67.29530307,159757.9095,2
llama2-70b,a100-80gb,512,64,128,0,0,793.398625,67.24329823,159625.3572,2
llama2-70b,a100-80gb,512,64,128,0,0,793.858984,67.39986184,159995.7421,2
llama2-70b,a100-80gb,512,64,128,0,0,796.4290601,67.17043079,159456.1119,2
llama2-70b,a100-80gb,512,64,128,0,0,794.215691,67.22499481,159583.941,2
llama2-70b,h100-80gb,512,64,128,0,0,362.572635,42.32435761,83891.53433,2
llama2-70b,h100-80gb,512,64,128,0,0,360.210507,42.37250781,84110.82625,2
llama2-70b,h100-80gb,512,64,128,0,0,361.786999,42.14067246,83486.02915,2
llama2-70b,h100-80gb,512,64,128,0,0,359.1092449,42.30143568,82953.84169,2
llama2-70b,h100-80gb,512,64,128,0,0,360.554242,42.26819405,84877.29406,2
llama2-70b,a100-80gb,128,1,128,1.005775,0.7356125,81.11538878,53.79945724,6916.076183,2
llama2-70b,a100-80gb,128,1,128,1.005775,0.7356125,81.04971587,53.67899322,6901.179075,2
llama2-70b,a100-80gb,128,1,128,1.005775,0.7356125,81.07582806,53.69346162,6902.487755,2
llama2-70b,a100-80gb,128,1,128,1.005775,0.7356125,81.32154192,53.58063519,6888.335705,2
llama2-70b,a100-80gb,128,1,128,1.005775,0.7356125,80.9339229,53.57538497,6887.258768,2
llama2-70b,h100-80gb,128,1,128,0,0,48.33135998,37.34876106,4794.394732,2
llama2-70b,h100-80gb,128,1,128,0,0,54.94044098,37.20480902,4782.69887,2
llama2-70b,h100-80gb,128,1,128,0,0,48.47018502,37.24067232,4780.816793,2
llama2-70b,h100-80gb,128,1,128,0,0,47.28790297,37.27430012,4783.814907,2
llama2-70b,h100-80gb,128,1,128,0,0,46.98828899,36.98743764,4747.096777,2
llama2-70b,a100-80gb,256,1,128,1.0360125,0.737175,112.376831,54.23935296,7003.244162,2
llama2-70b,a100-80gb,256,1,128,1.0360125,0.737175,113.037911,54.09943376,6986.075878,2
llama2-70b,a100-80gb,256,1,128,1.0360125,0.737175,112.6437939,54.08641539,6984.034777,2
llama2-70b,a100-80gb,256,1,128,1.0360125,0.737175,113.2785659,54.10882841,6988.105297,2
llama2-70b,a100-80gb,256,1,128,1.0360125,0.737175,112.932208,54.05627767,6980.583191,2
llama2-70b,h100-80gb,256,1,128,0,0,51.500106,37.92918176,4871.534109,2
llama2-70b,h100-80gb,256,1,128,0,0,52.41093202,37.82277458,4858.973026,2
llama2-70b,h100-80gb,256,1,128,0,0,51.88720499,37.94053342,4873.753548,2
llama2-70b,h100-80gb,256,1,128,0,0,51.84943799,37.79064233,4854.341984,2
llama2-70b,h100-80gb,256,1,128,0,0,51.45014799,37.83942121,4859.94482,2
llama2-70b,a100-80gb,512,1,128,1.0000125,0.73599375,196.2532192,54.87951194,7168.983698,2
llama2-70b,a100-80gb,512,1,128,1.0000125,0.73599375,195.5616639,54.85629276,7165.270329,2
llama2-70b,a100-80gb,512,1,128,1.0000125,0.73599375,197.4401758,54.80496004,7160.75325,2
llama2-70b,a100-80gb,512,1,128,1.0000125,0.73599375,196.8623791,54.85648231,7166.614532,2
llama2-70b,a100-80gb,512,1,128,1.0000125,0.73599375,197.1440038,54.8129801,7161.34119,2
llama2-70b,h100-80gb,512,1,128,0,0,85.39954998,36.97136075,4784.076691,2
llama2-70b,h100-80gb,512,1,128,0,0,83.41073204,37.05370054,4792.494059,2
llama2-70b,h100-80gb,512,1,128,0,0,83.82702799,37.10623497,4799.792051,2
llama2-70b,h100-80gb,512,1,128,0,0,82.85058598,36.99995854,4785.681725,2
llama2-70b,h100-80gb,512,1,128,0,0,83.82929297,36.86513585,4769.047499,2
