name,tag,iteration_start,iteration_end,batch_size,prompt_tasks_in_batch,memory,pending_requests,pending_tasks,blocked_tasks,pending_prompts,earliest_request_id,memory_allocs_size,num_contiguous_iterations,batch_tokens,pending_tokens
None_1,prompt,23.079205354758567,23.302262062523184,3,3,3725066240.0,5,2,0,2,7958,4,1,0,6561
None_1,prompt,23.302262062523184,23.695406086289786,1,1,6364856320.0,2,1,0,1,7962,2,1,0,4134
None_1,prompt,23.695406086289786,24.365063026648723,1,1,10839654400.0,1,0,0,0,7960,2,1,0,0
None_1,prompt,45.25,45.32309326394383,1,1,1213726720.0,1,0,0,0,7971,2,1,0,0
None_1,prompt,45.35,45.393033263620616,1,1,359137280.0,1,0,0,0,7973,2,1,0,0
None_1,prompt,45.4,45.47641568503219,1,1,1268776960.0,1,0,0,0,7975,2,1,0,0
None_1,prompt,45.65,45.73100379034468,1,1,201850880.0,1,0,0,0,7978,2,1,0,0
None_1,prompt,45.75,45.85416038404397,1,1,1753743360.0,1,0,0,0,7981,2,1,0,0
None_1,prompt,46.35,46.53467459443982,1,1,3080192000.0,2,1,0,1,7984,2,1,0,464
None_1,prompt,46.53467459443982,46.60808427943969,1,1,1218969600.0,1,0,0,0,7986,2,1,0,0
None_1,prompt,46.95,47.39109236782714,1,1,7140802560.0,1,0,0,0,7990,2,1,0,0
None_1,prompt,47.4,47.443666105732675,1,1,364380160.0,1,0,0,0,7998,2,1,0,0
None_1,prompt,47.45,47.52340968499987,1,1,1218969600.0,2,1,0,1,7999,2,1,0,7436
None_1,prompt,47.52340968499987,48.72794984187192,1,1,19495649280.0,1,0,0,0,8000,2,1,0,0
None_1,prompt,48.8,48.98624763187116,1,1,3106406400.0,4,3,0,3,8011,2,1,0,5159
None_1,prompt,48.98624763187116,49.0305465797159,1,1,369623040.0,3,2,0,2,8013,2,1,0,5019
None_1,prompt,49.0305465797159,49.43988936836782,1,1,6627000320.0,2,1,0,1,8014,2,1,0,2492
None_1,prompt,49.43988936836782,49.84356258930988,1,1,6535249920.0,3,2,0,2,8015,2,1,0,8290
