instance_names,utilizations,tot_energy,noc_energy,dram_energy,comp_energy,memory_peak
Tile,0.5774851616110871,26971.836745802,516.0640124458904,26455.42835150099,0.34438185467594173,100.0
Tile,0.5281041078865087,24964.863525252007,480.6279136257516,24483.916324798563,0.31928682733760366,100.0
Tile,0.5528794240972709,25767.102827264614,494.50469692539025,25272.26916892798,0.32896141078701097,100.0
Tile,0.5450514809835624,25702.411132212335,498.77262093967624,25203.30864357818,0.32986769406136085,100.0
Tile,0.8454044727510652,123885.44579541784,1053.044485956333,122831.03718659349,1.3641228677267951,7.99560546875
Tile,0.8447865472342828,121651.32194273685,1032.8976407410705,120617.0860652315,1.3382367642261106,7.996368408203125
Tile,0.8087204253033156,113408.79293182587,963.8336999041519,112443.71064452332,1.2485873982601419,7.999420166015625
Tile,0.7673581985292607,137997.26102179356,1165.2475403814205,136830.50258717427,1.5108942378847807,7.99560546875
Tile,0.7700780140929345,119340.54613722533,1014.9564872081086,118324.27496659044,1.3146834267982113,7.996368408203125
Tile,0.8226049482103196,164429.7090537078,1395.619210146798,163032.28156876352,1.8082747971380266,7.99560546875
Tile,0.8515164931386353,144201.75987170273,1226.4536024380068,142973.71764244384,1.588626820969677,7.996368408203125
Tile,0.7777637078849162,128511.6769562375,1095.0828449402275,127415.17602991959,1.4180813772894723,7.988739013671875
Tile,0.8814559639138579,156275.2255037424,1335.2491925776585,154938.24788211458,1.728429050047432,7.999420166015625
Tile,0.754419403292809,128945.32403481701,1093.1092170586019,127850.79825408319,1.4165636753497988,7.99713134765625
Tile,0.7920894446709982,127151.89994402905,1079.5911526698828,126070.91005599896,1.3987353601958887,7.9986572265625
Tile,0.7651986404936943,118105.93716630097,1005.9227394270612,117098.71171396649,1.302712907461209,7.999420166015625
Tile,0.7716962184962541,117530.8454729252,998.9502702410829,116530.60113939276,1.2940632913170493,7.997894287109375
Tile,0.8367631555800672,141804.49965530031,1200.0241284657825,140602.92002593682,1.555500897542912,7.993316650390625
Tile,0.7352561179010579,129660.60402000179,1101.8427193800637,128557.33391059986,1.4273900216673165,7.996368408203125
Tile,0.7845567389109681,193693.89184435052,1641.6693337486658,192050.0950047718,2.127505830220359,7.993316650390625
