request_ids,response_times,queue_times,ttft_times,tbt_times,nth_token_overheads,prompt_sizes,token_sizes
7718,0.16312087976868983,0.0,0.0110002205557439,0.025353443202157655,2.5177001955478673e-08,198,6
7720,0.27152895991440257,0.0,0.07649577111635686,0.02786188411400653,3.4306844076681386e-07,2698,7
7722,0.2693605322624537,0.0,0.10294890471589763,0.027735271257759347,4.617055257283287e-07,3631,6
7725,0.2624991234080408,0.0,0.04166837334096646,0.027603843758384296,1.9671122231113003e-07,1547,8
7717,0.4166903802684665,0.0,0.039082617787810164,0.029046750960050487,1.8450419109194982e-07,1451,13
7729,0.2673319212227695,0.01724630397993765,0.049622118301748674,0.027213725365127603,2.2506713881487173e-08,177,8
7724,0.3634768953143363,0.0,0.06379373054551629,0.029968316476882,2.8610229491077277e-07,2250,10
7741,0.2653514115586296,0.03714052718053429,0.047112949351019284,0.031176923172515764,0.02218201007134224,359,7
7730,0.3543239525950005,0.0072463039799376405,0.039622118301748666,0.028609257663022893,1.3033548990071253e-07,1025,11
7727,0.3909618216747799,0.0,0.042368682136612934,0.029049428294847246,2.000172932836719e-07,1573,12
7721,0.5376543700211533,0.0010002205557438915,0.08104008781351835,0.030440952147175668,3.589630127032173e-07,2823,15
7728,0.3990314534679993,0.0,0.06399219992943567,0.030458113958051238,2.869923909631922e-07,2257,11
7737,0.3573669025022765,0.020460124512571842,0.0510312969379092,0.030633560556436727,0.025497662976493363,1135,10
7719,0.5751898015210526,0.0,0.015980236938379855,0.029432082346456456,7.629394530028755e-08,600,19
7746,0.3325965492255647,0.04417024532530861,0.11074254724569627,0.03169342885426692,0.01691893779946224,2348,7
7755,0.3723514028100896,0.12288932453886658,0.17013323329132624,0.02888830993125191,0.009786592236836644,180,7
7735,0.4507459406150229,0.014622118301748699,0.05693693053100424,0.03281741750700155,0.02538707339543972,1571,12
7749,0.4114823920669808,0.1267370659987942,0.1892549219334002,0.03174678144765437,0.028107503531118794,2205,7
7747,0.42434431962957775,0.11202797442692186,0.1378893245388666,0.031828332787856795,0.024919707708045746,794,9
7763,0.42993116677871,0.1692549219334002,0.20542856472390958,0.028062825256850055,1.3567606604869553e-07,1067,8
7752,0.4921186781742436,0.15969200786737026,0.18870095297934242,0.033713080577211244,0.022236183237900775,1077,9
7765,0.48319436700351326,0.22278654653235008,0.25419270252172754,0.03271452349739796,0.016293184623288437,1166,7
7758,0.5024780699540314,0.18079386549093845,0.23005789576930147,0.030268908242747774,0.007958512324962586,1829,9
7750,0.5224216890932876,0.1328893245388666,0.18013323329132624,0.034228845580196135,0.026441417018887692,1574,10
7761,0.5024216890932875,0.1692549219334002,0.20542856472390958,0.032999236041042,0.014922846834720005,17,9
7743,0.5449498817951436,0.03422936106004415,0.12702797442692187,0.03214783902832475,0.012656135457930817,3273,13
7764,0.5273110364706948,0.22505789576930146,0.26672626911026787,0.03257309592005336,0.030504290138875234,1547,8
7748,0.5804883662793653,0.11202797442692186,0.1378893245388666,0.034046080133884514,0.02571144351319654,177,13
7773,0.5761614387907923,0.2781745061138657,0.36720220118627506,0.034826539600752875,0.027435407906611142,3140,6
7778,0.5711868756150065,0.350949405804588,0.38704224373406115,0.030690771980157554,0.024910368708702002,181,6
7774,0.576501101438103,0.35594940580458806,0.3920422437340612,0.030743142950673624,0.02012612598603214,181,6
7768,0.6024625556164688,0.26172626911026786,0.29235131144296267,0.03101112441735061,0.0015201985318482603,1137,10
7736,0.6973579843025906,0.0510312969379092,0.22469200786737026,0.036358921264247716,0.01116344467920305,6125,13
7762,0.6423428909326274,0.20542856472390958,0.2855251375199467,0.03243797758297098,0.0018053446307365606,2825,11
7734,0.7327582676890725,0.023992199929435687,0.049960084954302986,0.031036281033398616,0.025475342830855008,975,22
7744,0.6807251364480247,0.03211294935101927,0.13758525051960624,0.03620932572856123,0.014913872888434598,3720,15
7738,0.7501220905334587,0.04693693053100423,0.06922936106004413,0.030949669521518845,0.028730797238983363,608,22
7739,0.7482435860715577,0.041936930531004224,0.06422936106004412,0.031091555682341523,0.027428182115900812,210,22
7771,0.6687600060435592,0.27552513751994673,0.3660271765871858,0.033636981050708156,0.01914067023707733,3192,9
7775,0.6637600060435593,0.3610271765871858,0.45374073164666945,0.03500321239948165,0.02892961390547888,3270,6
7783,0.6610356789388939,0.4510982915756019,0.47232537297541644,0.03145171766057958,0.0003725617356103994,797,6
7772,0.7686670908229982,0.2873513114429627,0.31504044382467794,0.030241776466554685,0.006481606512533045,1028,15
7777,0.7969967735047041,0.38704224373406115,0.4760982915756019,0.03565538688101136,0.02159964313542495,3141,9
7784,0.8004396971723764,0.4673253729754165,0.5823809101103965,0.03634313117699665,0.03286137926320687,4058,6
7788,0.7766681530130033,0.5390413288643172,0.5931805857585271,0.030581261209079374,0.009149798154273858,2010,6
7770,0.8621714838893224,0.31504044382467794,0.46460130099249947,0.03614274389971118,0.02753752216745775,5275,11
7790,0.7858182818373628,0.5189220004059952,0.56877859966529,0.031005668881724686,0.025661266634277258,796,7
7740,0.927547575044841,0.014960084954302955,0.06417024532530857,0.0345350931887813,0.0192332756113906,1827,25
7757,0.8891069795839347,0.1742549219334002,0.21042856472390958,0.03231801975523929,0.0295359236628,81,21
7782,0.8391069795839347,0.46605554387592485,0.5790413288643171,0.03250820633995219,0.007543668565637152,3985,8
7766,0.8857483195303497,0.1692549219334002,0.20542856472390958,0.03580630288454948,0.030582893578327885,178,19
7785,0.9221876886093742,0.47451070216702207,0.5362063277968192,0.03216511340104625,0.00979225163473385,2176,12
