instance_names,utilizations,tot_energy,noc_energy,dram_energy,comp_energy,memory_peak
Tile,0.7952212040804576,44288.073643604985,978.7570693283918,43308.50430974742,0.8122645277491565,421.41357421875
Tile,0.795468682070101,44249.703701621525,971.1700040957387,43277.725449225494,0.808248298862322,302.6708984375
Tile,0.7944348082393389,42795.295315819785,945.6276753464081,41848.88299775338,0.7846427187170848,343.759765625
Tile,0.7949102277133003,44515.9158080904,989.2034710614514,43525.89363758968,0.8186994378110035,399.5263671875
Tile,0.6927367165902285,125527.2669910415,2034.7714483169339,123491.19485798977,1.3006847348097348,83.40576171875
Tile,0.7417172604913101,223460.6576852319,3610.682671181834,219847.67150443036,2.3035096195220635,95.1416015625
Tile,0.6980020990448716,134328.78813173572,2162.884659491962,132164.5266105563,1.3768616874504263,125.58349609375
Tile,0.6897941897552324,85668.70615866115,1385.5248210864002,84282.29690604849,0.8844315263125333,127.8466796875
Tile,0.6966144140192843,151614.58811450884,2447.647040488395,149165.38039208806,1.5606819323261392,115.95703125
Tile,0.5435514439956916,79808.41373561668,1290.824972724499,78516.76475067696,0.8240122151763938,127.890625
Tile,0.6676113757163707,86573.92281330054,1400.3059722629648,85172.72291865002,0.8939223875418344,127.705078125
Tile,0.6847119851839544,127461.91844182806,2053.6294770936847,125406.98113498183,1.307829752435344,126.90673828125
Tile,0.7004749904583982,215640.87661037617,3478.2126452297443,212160.4473776496,2.2165874969651096,75.03173828125
Tile,0.6893369797987641,161602.49059701606,2611.1696222933156,158989.65512798214,1.6658467406072095,7.96142578125
Tile,0.708595467992683,149340.0309938563,2412.6572874763733,146925.83465250354,1.5390538762938017,2.97119140625
Tile,0.9165053136962749,240838.77926865182,3879.619345607815,236956.68951177513,2.4704112688740123,77.18994140625
Tile,0.6801990354266797,163155.09415085264,2632.8063889137884,160520.60947080827,1.67829113079349,35.96923828125
Tile,0.8330526365269466,122693.3594894524,1987.1866912364965,120704.90317807408,1.2696201417999966,2.82958984375
Tile,0.7306759031625084,220387.86631520095,3552.6495040243667,216832.9536274964,2.2631836802444676,6.6162109375
Tile,0.6830550559282712,222237.78236223775,3586.525761995636,218648.97023449387,2.286365748371812,3.1884765625
Tile,0.6375684715303965,111578.99814283781,1800.6621271418112,109777.1881261765,1.1478895195726226,100.8544921875
Tile,0.6960507990090218,107852.61429132207,1741.1501727547065,106110.35392053786,1.1101980295969698,56.396484375
Tile,0.6755998165865367,138393.70694349307,2234.211080424959,136158.07127320764,1.4245898604473228,87.6513671875
Tile,0.6614158788781476,116322.74382360165,1885.9682262519616,114435.56987477002,1.205722579664319,127.6513671875
Tile,0.6990611777985116,168703.53520015997,2716.0169772693216,165985.7893833978,1.7288394928013273,26.10595703125
Tile,0.6249324174480831,101819.28869490407,1647.4322312091224,100170.80457028044,1.051893414593261,118.4033203125
Tile,0.7385657801368182,198583.07703541213,3208.0190231173624,195373.01166253202,2.046349762753204,33.0322265625
Tile,0.7036665527637668,98175.82946215659,1585.8237030140515,96588.99424857908,1.0115105634482857,127.94189453125
Tile,0.7111441262230539,121805.62862672802,1964.1779760862257,119840.19912288546,1.2515277562357823,47.62451171875
Tile,0.7194320558312204,304490.4121526261,4894.900595924008,299592.3986272852,3.112929416979912,127.1044921875
Tile,0.8553978682551063,196626.46590648414,3167.3026647211514,193457.14645336228,2.016788400576322,24.06982421875
Tile,0.6981448658311807,101404.59033263785,1641.5440236479426,99761.99785199256,1.0484569971933233,113.91845703125
Tile,0.790507558318314,145777.976696043,2352.689633949469,143423.78721599426,1.4998460992895306,127.69775390625
Tile,0.8289646209897471,155687.61926198253,2518.6835091171283,153167.327693608,1.6080592575631079,127.9736328125
Tile,0.7260483861739639,199371.52659448356,3215.946568025763,196153.53051495142,2.049511506366625,61.82373046875
Tile,0.7428675385698041,259388.91634448947,4211.162562523866,255175.05932433892,2.694457626652314,75.029296875
