request_ids,response_times,queue_times,ttft_times,tbt_times,nth_token_overheads,prompt_sizes,token_sizes
15626,0.4608275712496064,0.0,0.02767341677092028,0.036096179539890506,0.024529655852347454,120,12
15636,0.9046745257681246,0.0,0.02767341677092028,0.03654171287488351,0.015933328334235553,91,24
15612,1.9898733657927605,0.0,0.09048124546951292,0.034534402187695414,0.004018554687500009,1646,55
15617,2.6083222015396994,0.0,0.024538537527339477,0.0353942967672926,0.028871114272204734,227,73
15615,3.1857866890152873,0.0,0.3497404549414152,0.03938953102880378,0.0312926649664782,5939,72
15616,3.33196324217096,0.0,0.10801679668748049,0.03838031482718428,0.031084494392808415,1965,84
15630,2.9145379848651025,0.0,0.12767087157989365,0.03766036639574606,0.03734107810593168,2168,74
15634,2.947478885315889,0.0,0.3499171212766272,0.042582979738348556,0.04623392480426358,5942,61
15628,3.1520242143752384,0.0,0.04953629835477702,0.03693437995262454,0.03333141841557308,927,84
15622,3.468534408457701,0.0,0.023619693611117487,0.034449147148465836,0.016805542558822162,437,100
15605,4.301719872228439,0.0,0.061182032932908775,0.038550343993595734,0.002717285156249999,1113,110
15663,2.2080501343490617,0.0,0.023673743253248336,0.03640627318493022,0.008339260949451255,219,60
15650,2.7051355020050094,0.0,0.057828839753297334,0.0383667632210393,0.034970940823507934,1052,69
15638,3.236827012769553,0.0,0.02378184253750959,0.03966722432385238,0.03416399422743832,440,81
15623,3.791832545148415,0.0,0.15364082285606206,0.037897830440545344,0.02367913625368412,2609,96
15641,3.1611657592046036,0.0,0.06909776765199127,0.036377270488854266,0.021015075917210302,1257,85
15620,4.071368928136581,0.0,0.022484651126372768,0.037489669231576,0.005941003942900647,416,108
15606,4.755222464095461,0.0,0.052689094042945125,0.038863912149194345,0.0024072265625000033,986,121
15640,3.5078885855852784,0.0,0.021673906494412254,0.038310051418580945,0.03444186497410562,401,91
15637,3.6296772385950673,0.0,0.07552930211124598,0.03741208354193496,0.010259018941994213,1374,95
15651,3.050961485666089,0.0,0.021890105062934984,0.03933858935848252,0.022076948357711235,405,77
15610,4.675694635387801,0.0,0.07217610893163454,0.03742697988988754,0.003205566406249999,1313,123
15635,3.7658256123934235,0.0,0.0212955589994972,0.04070141362384703,0.012355306360619434,394,92
15643,3.540599816810954,0.0,0.022376551842111292,0.03518223264968842,0.0025747766521253546,414,100
15688,1.871828615498906,0.0,0.027673416770920056,0.038419899973499705,0.016302858518999486,37,48
