instance_names,utilizations,tot_energy,noc_energy,dram_energy,comp_energy,memory_peak
Tile,0.4241030800890444,78147.2505423648,1272.2727864508815,76874.03660119793,0.9411547172033957,39.676666259765625
Tile,0.4320326722408077,78953.26546859043,1284.1924505588784,77668.12167036271,0.951347669641024,33.78143310546875
Tile,0.9625920180123473,351072.5750754312,2980.1813385551695,348088.5324524665,3.861284408487324,7.99407958984375
Tile,0.959796720741208,364398.2295466493,3086.791845981255,361307.4370896026,4.000611065333289,7.99560546875
Tile,0.9469289819978948,345222.50593811605,2933.13497136436,342285.5711185941,3.7998481568883222,7.9986572265625
Tile,0.9538398641862793,333745.4603870986,2834.8441778627125,330906.9435530357,3.6726562003838095,7.9803466796875
Tile,0.97096161998566,364654.84392306564,3087.344746854291,361563.4975499949,4.001626216584432,7.99102783203125
Tile,0.9692332197409035,344211.4202638966,2928.6404728102116,341278.98651775793,3.793273328100053,7.99560546875
Tile,0.9557878358646102,335359.8600765389,2852.241733355787,332503.923824648,3.6945185359680224,7.99713134765625
Tile,0.9793216498772078,340915.8173313985,2894.6431520962174,338017.4238478697,3.7503314318355394,7.999420166015625
Tile,0.9681508151140846,341543.8820700911,2897.2850339313577,338642.84278736525,3.754248794011827,7.999420166015625
Tile,0.9635417073855244,336752.8614250294,2858.3303276481934,333890.82763570815,3.7034616732779075,7.993316650390625
Tile,0.9611433807201671,351013.58769069106,2979.2978769226656,348030.4296036682,3.860210099693458,7.993316650390625
Tile,0.958239225907887,354560.9539290626,3004.678812937766,351552.38115130767,3.893964816992376,7.9986572265625
Tile,0.9701508921746582,357037.0682910946,3029.6001333131617,354003.5426208216,3.9255369599906924,7.999420166015625
Tile,0.9641257309326765,359407.15590565157,3040.9037143442174,356362.31038836704,3.9418029404033854,7.997894287109375
Tile,0.9679695133274063,343182.0987424144,2917.833260497024,340260.48583058815,3.7796513290802607,7.99713134765625
Tile,0.9605046833308043,356111.211403267,3018.8224684203346,353088.47682559007,3.912109256689299,7.997894287109375
Tile,0.9735171720618816,343703.75294915,2918.5921730536634,340781.379467002,3.781309093857013,7.993316650390625
Tile,0.9562812743564535,338539.65465693723,2868.3103542934955,335667.6269567266,3.7173459167602974,7.979583740234375
Tile,0.9601506607724773,354176.8686248705,3002.0264412872684,351170.9517670914,3.89041649158976,7.99713134765625
Tile,0.9553510125747083,334348.0892152917,2835.9953634882286,331508.4189753433,3.6748764601777593,7.9925537109375
Tile,0.9630028304252833,348822.5674574044,2960.021226394582,345858.7108722397,3.835358769639375,7.999420166015625
Tile,0.9748318116324698,361173.8475729655,3064.5910411003933,358105.2856357498,3.9708961159002176,7.990264892578125
Tile,0.968284126118442,334145.3916309579,2839.315505143257,331302.39787417965,3.6782516355232366,7.99407958984375
Tile,0.9657885941330563,350105.7100338944,2978.080149346262,347123.77244499506,3.857439552959865,7.999420166015625
Tile,0.9610784698406097,343192.519773734,2910.1727014140606,340278.57592203113,3.7711502886296997,7.98187255859375
Tile,0.968365463325949,335677.79424080945,2849.019045382961,332825.08376390097,3.691431525774711,7.997894287109375
Tile,0.9552420230637588,345526.7291165764,2933.6667834669956,342589.2614189609,3.800914148492544,7.999420166015625
Tile,0.973228611909877,351241.99322056846,2974.522503556823,348263.61545995536,3.8552570564109123,7.9864501953125
Tile,0.9551790457051507,330797.20284075564,2804.83818244523,327988.72996430856,3.634694001051077,7.989501953125
Tile,0.9766345546141304,375997.2096869014,3185.3474567175736,372807.73394246475,4.128287719573751,7.99560546875
Tile,0.9586931244608611,329427.6262531449,2794.12692111448,326629.87868427264,3.6206477580135097,7.997894287109375
Tile,0.9507613565526124,340579.1945999577,2891.4856739703096,337683.96263041755,3.746295569305077,7.991790771484375
Tile,0.9540170535790178,354838.20068849716,3007.6691303954776,351826.6338359265,3.897722175064134,7.9925537109375
Tile,0.9655959869220765,354588.9100495546,3007.6548621442525,351577.3578700865,3.8973173238516274,7.97576904296875
Tile,0.9440312840500569,342215.2318234758,2905.9780546564225,339305.488807236,3.7649615836529873,7.999420166015625
Tile,0.9865047675330294,369678.01922496565,3139.6469958914213,366534.3046131829,4.067615892062075,7.99407958984375
Tile,0.9454454669172224,362033.10599147435,3075.14621067876,358953.9758082728,3.9839725217626323,7.982635498046875
Tile,0.9630247747275872,354864.0173588835,3010.610952996716,351849.5053725981,3.9010332891334305,7.991790771484375
Tile,0.9609656527800183,342774.5397926135,2902.462353216847,339868.315513972,3.7619254239207134,7.987213134765625
Tile,0.9698157143096109,343505.3606642913,2912.52825262247,340589.0581542385,3.774257429665481,7.982635498046875
Tile,0.9698972144595746,358972.14291695855,3046.2874488457664,355921.90835811547,3.947109997352328,7.99407958984375
Tile,0.9584331659978124,355268.231993344,3015.331434705812,352248.99364621204,3.9069124273519704,7.996368408203125
Tile,0.9553105477522708,372178.43504492776,3149.4229605809373,369024.92969757586,4.082386771533586,7.99560546875
Tile,0.9715812303208224,334098.4577052758,2829.412774506827,331265.3777626011,3.667168168072114,7.999420166015625
Tile,0.97337122643612,354455.1819621027,3011.8977381926893,351439.38239786186,3.9018260487935654,7.987213134765625
Tile,0.9765948024055291,352191.2082736361,2991.9958772604937,349195.3362306246,3.876165751164869,7.9864501953125
Tile,0.9589579772345458,340549.34934830456,2890.7673748886855,337654.8365230487,3.7454503672185298,7.994842529296875
Tile,0.9472316400458299,335853.1185321463,2845.983507374985,333003.4466947012,3.688330070957099,7.9986572265625
