name,tag,iteration_start,iteration_end,batch_size,prompt_tasks_in_batch,memory,pending_requests,pending_tasks,blocked_tasks,pending_prompts,earliest_request_id,memory_allocs_size,num_contiguous_iterations,batch_tokens,pending_tokens
None_155,token,13.470507812500045,83.47050781250005,1,0,153221629440.0,2,1,0,0,15679,3,7.0,1,1
None_155,token,83.47050781250005,103.47050781250005,2,0,165007623680.0,4,2,0,0,15679,5,2.0,2,2
None_155,token,103.47050781250005,143.47050781250005,4,0,171133928960.0,5,1,0,0,15679,6,4.0,4,1
None_155,token,143.47050781250005,163.47050781250005,5,0,178893391360.0,6,1,0,0,15679,7,2.0,5,1
None_155,token,163.47050781250005,203.47050781250005,6,0,181921154560.0,7,1,0,0,15679,8,4.0,6,1
None_155,token,203.47050781250005,233.47050781250005,7,0,187552007680.0,8,1,0,0,15679,9,3.0,7,1
None_155,token,233.47050781250005,263.47050781250005,8,0,191434360320.0,9,1,0,0,15679,10,3.0,8,1
None_155,token,263.47050781250005,293.47050781250005,9,0,192488179200.0,10,1,0,0,15679,11,3.0,9,1
None_155,token,293.47050781250005,303.47050781250005,10,0,196436067840.0,11,1,0,0,15679,12,1.0,10,1
None_155,token,303.47050781250005,323.47050781250005,11,0,199875397120.0,12,1,0,0,15679,13,2.0,11,1
None_155,token,323.47050781250005,353.47050781250005,12,0,201946334720.0,14,2,0,0,15679,15,3.0,12,2
None_155,token,353.47050781250005,363.47050781250005,14,0,204622824960.0,16,2,0,0,15679,17,1.0,14,2
None_155,token,363.47050781250005,373.47050781250005,16,0,210583979520.0,17,1,0,0,15679,18,1.0,16,1
None_155,token,373.47050781250005,413.47050781250005,17,0,213797864960.0,18,1,0,0,15679,19,4.0,17,1
None_155,token,413.47050781250005,433.47050781250005,18,0,215381214720.0,19,1,0,0,15679,20,2.0,18,1
None_155,token,433.47050781250005,443.47050781250005,19,0,216956700160.0,20,1,0,0,15679,21,1.0,19,1
None_155,token,443.47050781250005,453.47050781250005,20,0,219953006080.0,21,1,0,0,15679,22,1.0,20,1
None_155,token,453.47050781250005,473.47050781250005,21,0,222063265280.0,22,1,0,0,15679,23,2.0,21,1
None_155,token,473.47050781250005,483.47050781250005,22,0,223376606720.0,23,1,0,0,15679,24,1.0,22,1
None_155,token,483.47050781250005,493.47050781250005,23,0,226564277760.0,24,1,0,0,15679,25,1.0,23,1
None_155,token,493.47050781250005,523.4705078125,24,0,231353648640.0,26,2,0,0,15679,27,3.0,24,2
None_155,token,523.4705078125,553.4705078125,26,0,233946252800.0,27,1,0,0,15679,28,3.0,26,1
None_155,token,553.4705078125,563.4705078125,27,0,234764142080.0,28,1,0,0,15679,29,1.0,27,1
None_155,token,563.4705078125,573.4705078125,28,0,238670087680.0,29,1,0,0,15679,30,1.0,28,1
None_155,token,573.4705078125,593.4705078125,29,0,239556134400.0,30,1,0,0,15679,31,2.0,29,1
None_155,token,593.4705078125,603.4705078125,30,0,243257607680.0,31,1,0,0,15679,32,1.0,30,1
None_155,token,603.4705078125,633.4705078125,31,0,247124231680.0,32,1,0,0,15679,33,3.0,31,1
None_155,token,633.4705078125,663.4705078125,32,0,250954155520.0,33,1,0,0,15679,34,3.0,32,1
None_155,token,663.4705078125,693.4705078125,33,0,255489246720.0,34,1,0,0,15679,35,3.0,33,1
None_155,token,693.4705078125,733.4705078125,34,0,261686330880.0,35,1,0,0,15679,36,4.0,34,1
None_155,token,733.4705078125,793.4705078125,35,0,263219873280.0,36,1,0,0,15679,37,6.0,35,1
None_155,token,793.4705078125,803.4705078125,36,0,269608322560.0,38,2,0,0,15679,39,1.0,36,2
None_155,token,803.4705078125,823.4705078125,38,0,270316111360.0,38,0,0,0,15679,39,2.0,38,0
None_155,token,823.4705078125,983.4705078125,37,0,269686965760.0,37,0,0,0,15679,38,16.0,37,0
None_155,token,983.4705078125,993.4705078125,36,0,262800442880.0,40,4,0,0,16057,41,1.0,36,4
None_155,token,993.4705078125,1003.4705078125,40,0,268544017920.0,41,1,0,0,16057,42,1.0,40,1
None_155,token,1003.4705078125,1033.4705078125,41,0,272481420800.0,42,1,0,0,16057,43,3.0,41,1
None_155,token,1033.4705078125,1073.4705078125,42,0,276371637760.0,43,1,0,0,16057,44,4.0,42,1
None_155,token,1073.4705078125,1113.4705078125,43,0,280319526400.0,44,1,0,0,16057,45,4.0,43,1
None_155,token,1113.4705078125,1133.4705078125,44,0,282416678400.0,45,1,0,0,16057,46,2.0,44,1
None_155,token,1133.4705078125,1153.4705078125,45,0,285934650880.0,46,1,0,0,16057,47,2.0,45,1
None_155,token,1153.4705078125,1183.4705078125,46,0,290199733760.0,47,1,0,0,16057,48,3.0,46,1
None_155,token,1183.4705078125,1203.4705078125,47,0,298187261440.0,48,1,0,0,16057,49,2.0,47,1
None_155,token,1203.4705078125,1213.4705078125,47,0,294417630720.0,49,2,0,0,16057,50,1.0,47,2
None_155,token,1213.4705078125,1223.4705078125,49,0,297387722240.0,50,1,0,0,16057,51,1.0,49,1
None_155,token,1223.4705078125,1243.4705078125,50,0,301490275840.0,51,1,0,0,16057,52,2.0,50,1
None_155,token,1243.4705078125,1253.4705078125,51,0,302541473280.0,51,0,0,0,16057,52,1.0,51,0
None_155,token,1253.4705078125,1263.4705078125,50,0,306017502720.0,51,1,0,0,16057,52,1.0,50,1
None_155,token,1263.4705078125,1293.4705078125,51,0,309045265920.0,52,1,0,0,16057,53,3.0,51,1
None_155,token,1293.4705078125,1313.4705078125,52,0,312869946880.0,53,1,0,0,16057,54,2.0,52,1
None_155,token,1313.4705078125,1343.4705078125,53,0,316733949440.0,54,1,0,0,16057,55,3.0,53,1
None_155,token,1343.4705078125,1373.4705078125,54,0,321428948480.0,55,1,0,0,16057,56,3.0,54,1
None_155,token,1373.4705078125,1383.4705078125,54,0,322758018560.0,55,1,0,0,16057,56,1.0,54,1
None_155,token,1383.4705078125,1393.4705078125,55,0,323772515840.0,55,0,0,0,16057,56,1.0,55,0
None_155,token,1393.4705078125,1403.4705078125,54,0,325237900800.0,57,3,0,0,16057,58,1.0,54,3
None_155,token,1403.4705078125,1413.4705078125,56,0,323374056960.0,58,2,0,0,16057,59,1.0,56,2
None_155,token,1413.4705078125,1423.4705078125,57,0,324265346560.0,59,2,0,0,16057,60,1.0,57,2
None_155,token,1423.4705078125,1433.4705078125,57,0,326732121600.0,58,1,0,0,16057,59,1.0,57,1
None_155,token,1433.4705078125,1443.4705078125,58,0,331442849280.0,59,1,0,0,16057,60,1.0,58,1
None_155,token,1443.4705078125,1473.4705078125,59,0,334334297600.0,60,1,0,0,16057,61,3.0,59,1
None_155,token,1473.4705078125,1493.4705078125,60,0,336452421120.0,61,1,0,0,16057,62,2.0,60,1
None_155,token,1493.4705078125,1503.4705078125,61,0,342117352960.0,62,1,0,0,16057,63,1.0,61,1
None_155,token,1503.4705078125,1513.4705078125,62,0,342361146880.0,62,0,0,0,16057,63,1.0,62,0
None_155,token,1513.4705078125,1523.4705078125,61,0,343601088000.0,63,2,0,0,16057,64,1.0,61,2
None_155,token,1523.4705078125,1553.4705078125,63,0,350188766720.0,64,1,0,0,16057,65,3.0,63,1
None_155,token,1553.4705078125,1573.4705078125,64,0,350322460160.0,64,0,0,0,16057,65,2.0,64,0
None_155,token,1573.4705078125,1593.4705078125,63,0,351051220480.0,65,2,0,0,16057,66,2.0,63,2
None_155,token,1593.4705078125,1603.4705078125,64,0,357499962880.0,67,3,0,0,16057,68,1.0,64,3
None_155,token,1603.4705078125,1633.4705078125,67,0,358202508800.0,67,0,0,0,16057,68,3.0,67,0
None_155,token,1633.4705078125,1643.4705078125,66,0,359909066240.0,67,1,0,0,16057,68,1.0,66,1
None_155,token,1643.4705078125,1663.4705078125,67,0,361180464640.0,68,1,0,0,16057,69,2.0,67,1
None_155,token,1663.4705078125,1673.4705078125,68,0,361987868160.0,69,1,0,0,16057,70,1.0,68,1
None_155,token,1673.4705078125,1683.4705078125,69,0,364792808960.0,70,1,0,0,16057,71,1.0,69,1
None_155,token,1683.4705078125,1693.4705078125,70,0,366137607680.0,71,1,0,0,16057,72,1.0,70,1
None_155,token,1693.4705078125,1703.4705078125,71,0,370261132800.0,73,2,0,0,16057,74,1.0,71,2
None_155,token,1703.4705078125,1713.4705078125,72,0,372051576320.0,74,2,0,0,16057,75,1.0,72,2
None_155,token,1713.4705078125,1723.4705078125,73,0,370345018880.0,76,3,0,0,16057,77,1.0,73,3
None_155,token,1723.4705078125,1733.4705078125,76,0,372491978240.0,77,1,0,0,16057,78,1.0,76,1
None_155,token,1733.4705078125,1743.4705078125,77,0,375519741440.0,78,1,0,0,16057,79,1.0,77,1
