request_id,request_type,node_id,node_type,runner,start_timestamp,completion_timestamp
7718,2,0,PROMPT,None_2,0.25555555555555554,0.3182069246502688
7718,2,1,TOKEN,None_9,0.31820700521667505,1.1695336162094314
7718,2,2,KVCacheTransfer,DummyLink,0.3182069246502688,0.31820700521667505
7720,2,0,PROMPT,None_0,0.26666666666666666,0.7037093432724746
7720,2,1,TOKEN,None_20,0.703710441091485,1.764234879014142
7720,2,2,KVCacheTransfer,DummyLink,0.7037093432724746,0.703710441091485
7722,2,0,PROMPT,None_1,0.46158106462138737,1.0497582176071873
7722,2,1,TOKEN,None_21,1.0497596950648695,1.9456380689718669
7722,2,2,KVCacheTransfer,DummyLink,1.0497582176071873,1.0497596950648695
7725,2,0,PROMPT,None_0,0.7037093432724746,0.9470582339014337
7725,2,1,TOKEN,None_26,0.9470588633773452,2.163425428245746
7725,2,2,KVCacheTransfer,DummyLink,0.9470582339014337,0.9470588633773452
7729,2,0,PROMPT,None_3,0.9605518733734228,1.2358334238586708
7729,2,1,TOKEN,None_32,1.2358334958801551,2.427309212723647
7729,2,2,KVCacheTransfer,DummyLink,1.2358334238586708,1.2358334958801551
7724,2,0,PROMPT,None_3,0.5960796634538277,0.9605518733734228
7724,2,1,TOKEN,None_30,0.9605527889007666,2.5408743885129654
7724,2,2,KVCacheTransfer,DummyLink,0.9605518733734228,0.9605527889007666
7717,2,0,PROMPT,None_1,0.23333333333333334,0.46158106462138737
7717,2,1,TOKEN,None_12,0.4615816550347988,2.543791464160118
7717,2,2,KVCacheTransfer,DummyLink,0.46158106462138737,0.4615816550347988
7741,2,0,PROMPT,None_2,1.466340012091805,1.5261435916822133
7741,2,1,TOKEN,None_22,1.5261437377596871,2.550242924255693
7741,2,2,KVCacheTransfer,DummyLink,1.5261435916822133,1.5261437377596871
7730,2,0,PROMPT,None_2,0.7754980573627208,1.0976561233020279
7730,2,1,TOKEN,None_35,1.0976565403755956,2.8217745499696587
7730,2,2,KVCacheTransfer,DummyLink,1.0976561233020279,1.0976565403755956
7746,2,0,PROMPT,None_1,1.5939040895263297,1.9742510890335339
7746,2,1,TOKEN,None_6,1.9742520444371796,3.029325931697448
7746,2,2,KVCacheTransfer,DummyLink,1.9742510890335339,1.9742520444371796
7727,2,0,PROMPT,None_3,0.9605518733734228,1.2358334238586708
7727,2,1,TOKEN,None_18,1.2358340639140093,3.1480095503688506
7727,2,2,KVCacheTransfer,DummyLink,1.2358334238586708,1.2358340639140093
7737,2,0,PROMPT,None_1,1.4153643410687546,1.5939040895263297
7737,2,1,TOKEN,None_7,1.593904551359012,3.148180305305938
7737,2,2,KVCacheTransfer,DummyLink,1.5939040895263297,1.593904551359012
7728,2,0,PROMPT,None_1,1.0497582176071873,1.4153643410687546
7728,2,1,TOKEN,None_4,1.4153652594444057,3.1806362240520523
7728,2,2,KVCacheTransfer,DummyLink,1.4153643410687546,1.4153652594444057
7735,2,0,PROMPT,None_0,1.0822484329525184,1.3293726134167037
7735,2,1,TOKEN,None_31,1.32937325265824,3.241491638106142
7735,2,2,KVCacheTransfer,DummyLink,1.3293726134167037,1.32937325265824
7721,2,0,PROMPT,None_2,0.3182069246502688,0.7754980573627208
7721,2,1,TOKEN,None_34,0.7754992060443614,3.254598353415886
7721,2,2,KVCacheTransfer,DummyLink,0.7754980573627208,0.7754992060443614
7719,2,0,PROMPT,None_3,0.25555555555555554,0.34911278673277674
7719,2,1,TOKEN,None_13,0.34911303087340173,3.432669870729727
7719,2,2,KVCacheTransfer,DummyLink,0.34911278673277674,0.34911303087340173
7749,2,0,PROMPT,None_1,1.9742510890335339,2.3314338547547373
7749,2,1,TOKEN,None_33,2.403828945674361,3.471976367548195
7749,2,2,KVCacheTransfer,DummyLink,2.3314338547547373,2.331434751971534
7747,2,0,PROMPT,None_2,2.0563291663785845,2.207735952167054
7747,2,1,TOKEN,None_19,2.2077362752464813,3.593379276376443
