instance_names,utilizations
Tile,0.8635231989617471
Tile,0.8602162248999775
Tile,0.8514466834156909
Tile,0.8298692110959753
Tile,0.8180549282108509
Tile,0.7974163145510293
Tile,0.7704489482252516
Tile,0.7584165260357943
Tile,0.7156067270183255
Tile,0.6906885197006253
Tile,0.6515618212264034
Tile,0.6047205309606045
Tile,0.5665903928707214
Tile,0.5207213490961892
Tile,0.4829759421710475
Tile,0.4446390187595592
Tile,0.39815952709949953
Tile,0.3808780839458924
Tile,0.330988306122106
Tile,0.3102204844801882
Tile,0.9794991358542781
Tile,0.9716629432589159
Tile,0.9726613684276589
Tile,0.9754078062946459
Tile,0.9738476436838986
Tile,0.9784473902197638
Tile,0.9867015739973442
Tile,0.9750027196725182
Tile,0.9802051378542838
Tile,0.9776668960244659
Tile,0.9682540029444584
Tile,0.9771524273554072
Tile,0.9566517901494052
Tile,0.9765115296539499
Tile,0.9767217644167523
Tile,0.9798113813731342
Tile,0.9711475459023599
Tile,0.971755986978539
Tile,0.9671596731292827
Tile,0.9661233978034337
