request_ids,response_times,queue_times,ttft_times,tbt_times,nth_token_overheads,prompt_sizes,token_sizes
15612,3.035217336449317,0.0,0.43846520251736365,0.04721367516239915,0.030767059326171964,1646,55
15626,0.6233437569353231,0.0,0.07844996481435373,0.04540781601008078,0.022184999310636666,120,12
15617,3.530306940191844,0.0,0.09474703204614343,0.04706246449514658,0.01411418677589027,227,73
15605,5.509388664394979,0.0,0.3090731482739102,0.04727559560110063,0.02080421447753905,1113,110
15616,4.496650134376557,0.0,0.5159062256011566,0.04738980843780238,0.03672981262207031,1965,84
15606,5.999762428922887,0.0,0.2790743149453192,0.047278414165103866,0.018430328369140603,986,121
15636,1.2125678395744206,0.0,0.07403300266742008,0.047438951537791686,0.04556575226291937,91,24
15610,6.179436535016002,0.0,0.35762551384368635,0.04733179692010013,0.024542617797851607,1313,123
15615,5.833811094748656,0.0,2.349004017466598,0.04840009829558414,0.1110118865966796,5939,72
15608,6.994133500445192,0.0,0.14382486388785765,0.04724350783832644,0.007626342773437544,408,145
15622,4.900579320801131,0.0,0.15234568771120394,0.04748233633089927,0.04377172506534199,437,100
15620,5.275389159621819,0.0,0.14617543597705662,0.04749271966337743,0.04464430883835435,416,108
15609,7.277059015267896,0.0,0.49430042292260623,0.047431878268148875,0.03506622314453134,1876,143
15630,4.130252251065611,0.0,0.5827305095253905,0.04793948299378676,0.07861246717431403,2168,74
15628,4.260129041521471,0.0,0.266043030514993,0.04754864298817235,0.04995071192474132,927,84
15623,5.3505835047871715,0.0,0.7542613264073452,0.047878356024789855,0.08203892188578799,2609,96
15618,7.447344943216034,0.0,1.8907316392867415,0.04831837655590689,0.1394782738152749,5108,115
15635,4.477867038639182,0.0,0.13971136273175944,0.04715386604247199,0.013822706889806469,394,92
15638,3.992303545961251,0.0,0.15322715224465355,0.04739600486069873,0.03739531125634166,440,81
15624,6.5236673873694215,0.0,1.9651802205794984,0.04849454432755238,0.13918348828757487,5243,94
15604,10.028279808346598,0.0,0.35738275201583747,0.04740635811926843,0.02452392578125001,1312,204
15634,5.3128209203704575,0.0,2.3506584303842146,0.04856004081944661,0.11106796264648455,5942,61
15632,6.05672309279681,0.0,0.14676307899935637,0.04727968011037963,0.01748071220818659,418,125
15637,4.9042420739613855,0.0,0.3724339853424681,0.04770324303809387,0.06492704461452892,1374,95
15641,4.40125848672195,0.0,0.344030851484149,0.047732089826327075,0.06559035296315674,1257,85
15640,4.446796800328373,0.0,0.14176811330980854,0.04730800754965456,0.02823613139066694,401,91
15619,8.78031502718796,0.0,0.09246239645290188,0.047474604539535836,0.03910761517946426,212,183
15643,4.896882278961513,0.0,0.14558779295475688,0.04751294486006756,0.046793408743114995,414,100
15633,6.68361640649842,0.0,0.06154366142436629,0.04730051960767181,0.016800596551442837,9,140
15639,5.6914530176137035,0.0,0.0962701224416378,0.04741680419637344,0.03536897959366936,237,118
15650,3.573692331156721,0.0,0.29426467677512846,0.04752793702002308,0.04807042138827455,1052,69
15614,10.688150270703936,0.0,0.08774081622686936,0.04732325649320119,0.0033832550048829013,181,224
15646,4.964025903963064,0.0,0.13882989819830982,0.047305843193772096,0.025716089551669263,391,102
15645,5.6042377350823385,0.0,0.12502028717426583,0.04723463317162131,0.014454058377016743,344,116
15651,3.794828182121373,0.0,0.14294339935440803,0.04742707510086967,0.040267800289068845,405,77
15627,8.413201130765138,0.0,0.4353092987553282,0.04748745138101077,0.04222197752567336,1633,168
15625,9.307025134181611,0.0,1.991099356288828,0.04813109064403147,0.14055962204185768,5290,152
15647,5.471062208026833,0.0,0.14147429179865867,0.04716449483387765,0.007476806640625,400,113
15648,5.703689902883138,0.0,0.9133454626992261,0.047903444401839114,0.0859704781866455,3018,100
15663,2.9471359605368583,0.0,0.09352855972974794,0.04756012334678517,0.0499017831965638,219,60
15652,4.7828714421646765,0.0,0.09596550436253892,0.047342484220223614,0.029802638774663492,235,99
