instance_names,utilizations,tot_energy,noc_energy,dram_energy,comp_energy,memory_peak
Tile,0.38093823758117107,44675.56139319832,980.6072769492175,43694.1384461241,0.8156701234915866,36.31103515625
Tile,0.3801816619895731,43483.5319042549,960.1196470075939,42522.61582067893,0.7964365670761202,36.3134765625
Tile,0.3815737383416213,44706.91216175406,984.85946989148,43721.234873358735,0.8178185024136316,36.3134765625
Tile,0.38306723828355055,44015.82564802848,968.027574967508,43046.993579187176,0.804493872456474,36.3134765625
Tile,0.43375457740934004,110122.99242053297,1777.0371628764383,108344.82247908924,1.132778567273579,47.32666015625
Tile,0.3873866244668477,102148.46566086466,1646.2826432318072,100501.1344058824,1.0486117505054,46.77001953125
Tile,0.3633638513580432,83303.33891993853,1343.8616103857044,81958.62081452967,0.8564950230384644,73.2958984375
Tile,0.40316469250664766,109867.09775658144,1774.4510818054046,108091.51493594896,1.1317388271207525,40.5859375
Tile,0.48573273694641583,127843.73876500055,2060.036619731273,125782.39013431285,1.3120109565109033,50.1708984375
Tile,0.3825341770814016,90488.1714706994,1463.1301449965633,89024.10748972255,0.933835980221929,57.1826171875
Tile,0.44257174135446986,121447.72267336489,1957.7712552778237,119488.70422332651,1.2471947604619602,60.07080078125
Tile,0.46992940424069635,164715.83058420348,2663.597452354626,162050.53300156162,1.7001302871960349,48.7109375
Tile,0.4652396884085688,105626.46283050919,1707.05787457931,103918.31576797775,1.0891879521286976,45.4150390625
Tile,0.440683528644778,107131.22797658363,1727.4343817873591,105402.69295843007,1.100636366256348,50.57861328125
Tile,0.40275745602654883,145126.7088593477,2347.620520314684,142777.58957822496,1.498760808055735,65.99365234375
Tile,0.439034061100734,115544.35415277266,1867.4769148862495,113675.68564208777,1.1915957985563905,55.4638671875
Tile,0.47380976330660896,159508.7294629578,2571.1213191411844,156935.97029602758,1.6378477892622032,42.421875
Tile,0.4954107591443933,151527.21863884493,2443.4566294052383,149082.20509554155,1.5569138983701793,44.51171875
Tile,0.5129461512210179,152029.64587137697,2451.0263938628304,149577.05795039836,1.5615271158377806,58.00537109375
Tile,0.5736293698450919,224875.5285965182,3629.068744720284,221244.14637551788,2.3134762799457906,39.35791015625
Tile,0.33354513148176324,73751.03136475645,1189.5478914954392,72560.725412983,0.758060278054617,45.62255859375
Tile,0.340471611945491,89086.2300865319,1435.1373157701169,87650.17889718397,0.9138735777277719,45.1611328125
Tile,0.3990187045576225,96668.41063583439,1565.2513709040193,95102.15938796542,0.9998769649677919,52.71484375
Tile,0.3738156317424398,91596.29745753373,1475.0722114149207,90120.28614061618,0.9391055025568866,41.77001953125
Tile,0.4240872119750261,135484.42003423884,2185.144185720725,133297.8833728758,1.3924756423070257,38.8720703125
Tile,0.507931121413115,181403.42915799873,2929.9565222166416,178471.6038682103,1.8687675715611611,55.6591796875
Tile,0.47485769168845243,112886.18016004037,1820.4923821424493,111064.52774593887,1.1600319590951673,49.7265625
Tile,0.4432314146720699,95129.72278569185,1534.9152412608387,93593.82917751583,0.978366915221378,42.080078125
Tile,0.4642450296683344,165884.22829875883,2666.802202053689,163215.73009679987,1.6959999052388157,42.30712890625
Tile,0.4191678034047688,119956.88740047661,1933.1028220240412,118022.55334971719,1.2312287353664761,42.78076171875
Tile,0.45936533354035863,118146.49692070649,1905.8081378754896,116239.47419608166,1.2145867493037634,41.9384765625
Tile,0.4260866138683129,128061.82926625878,2062.3822810978977,125998.13394191646,1.3130432443791924,43.2275390625
Tile,0.5286386430672539,181461.20758540672,2916.1168775423025,178543.23658953916,1.8541183251040751,43.23486328125
Tile,0.4738233147606473,309691.7537521734,4987.980496401629,304700.5973841524,3.175871618931651,41.591796875
Tile,0.344641929136196,85509.11485063624,1382.579694050312,84125.65274832709,0.8824082588043097,38.83056640625
Tile,0.46544351950752594,199582.56310224172,3227.6760223615624,196352.82680782516,2.0602720550586007,63.6767578125
