request_id,request_type,node_id,node_type,runner,start_timestamp,completion_timestamp
15626,2,0,PROMPT,None_3,0.72,0.7469927300836307
15626,2,1,TOKEN,None_7,0.7546406012600377,1.152693039337282
15626,2,2,KVCacheTransfer,DummyLink,0.7469927300836307,0.7474504937555057
15636,2,0,PROMPT,None_2,1.1,1.1269927300836309
15636,2,1,TOKEN,None_7,1.152693039337282,2.0467416548013864
15636,2,2,KVCacheTransfer,DummyLink,1.1269927300836309,1.1273398675348028
15612,2,0,PROMPT,None_3,0.22000000000000003,0.30741515856107815
15612,2,1,TOKEN,None_9,0.3389732739510356,2.2565163478985752
15612,2,2,KVCacheTransfer,DummyLink,0.30741515856107815,0.3136941502602969
15617,2,0,PROMPT,None_2,0.36,0.3839349598788444
15617,2,1,TOKEN,None_8,0.39779046706757726,2.775770963003936
15617,2,2,KVCacheTransfer,DummyLink,0.3839349598788444,0.3848008961581413
15615,2,0,PROMPT,None_1,0.27999999999999997,0.6132428861556485
15615,2,1,TOKEN,None_7,0.6477909829488522,3.531545915617553
15615,2,2,KVCacheTransfer,DummyLink,0.6132428861556485,0.6358983732161954
15616,2,0,PROMPT,None_0,0.27999999999999997,0.38435649244988973
15616,2,1,TOKEN,None_6,0.4025583341130639,3.8259225068878613
15616,2,2,KVCacheTransfer,DummyLink,0.38435649244988973,0.39185237257684286
15622,2,0,PROMPT,None_2,0.6,0.6230387168877863
15622,2,1,TOKEN,None_8,0.6306802578605833,4.160883427571723
15622,2,2,KVCacheTransfer,DummyLink,0.6230387168877863,0.6247057395928645
15638,2,0,PROMPT,None_2,1.1800000000000002,1.2031968774156203
15638,2,1,TOKEN,None_8,1.2073089811343762,4.160883427571723
15638,2,2,KVCacheTransfer,DummyLink,1.2031968774156203,1.2048753442124953
15634,2,0,PROMPT,None_1,1.02,1.3534112189824659
15634,2,1,TOKEN,None_5,1.378970504121578,4.330822646527312
15634,2,2,KVCacheTransfer,DummyLink,1.3534112189824659,1.3760781501348096
15630,2,0,PROMPT,None_3,0.8590847036919421,0.9807332265384561
15630,2,1,TOKEN,None_6,1.002686591257911,4.338476609497683
15630,2,2,KVCacheTransfer,DummyLink,0.9807332265384561,0.9890034902103311
15605,2,0,PROMPT,None_2,0.0,0.05910879190673144
15605,2,1,TOKEN,None_7,0.06335454996337206,4.340110995825781
15605,2,2,KVCacheTransfer,DummyLink,0.05910879190673144,0.06335454996337206
15663,2,0,PROMPT,None_2,2.12,2.143091437063731
15663,2,1,TOKEN,None_7,2.1660823049093025,4.847860699471905
15663,2,2,KVCacheTransfer,DummyLink,2.143091437063731,2.143926855764903
15628,2,0,PROMPT,None_4,0.8400000000000001,0.8882132226392904
15628,2,1,TOKEN,None_5,0.9220437520875022,4.877759347591505
15628,2,2,KVCacheTransfer,DummyLink,0.8882132226392904,0.8917494470045247
15641,2,0,PROMPT,None_3,1.28,1.3467562905900823
15641,2,1,TOKEN,None_7,1.3766355941296389,5.117008328745283
15641,2,2,KVCacheTransfer,DummyLink,1.3467562905900823,1.351551365052973
15623,2,0,PROMPT,None_1,0.64,0.7863934483886323
15623,2,1,TOKEN,None_9,0.8228633900618237,5.137470217971832
15623,2,2,KVCacheTransfer,DummyLink,0.7863934483886323,0.796345993554648
15643,2,0,PROMPT,None_0,1.3199999999999998,1.3418261528410607
15643,2,1,TOKEN,None_8,1.366027387178818,5.266576820325946
15643,2,2,KVCacheTransfer,DummyLink,1.3418261528410607,1.3434054375090294
15650,2,0,PROMPT,None_0,1.6600000000000001,1.7158692264922566
15650,2,1,TOKEN,None_5,1.7563347721143825,5.2764922897620234
15650,2,2,KVCacheTransfer,DummyLink,1.7158692264922566,1.719882288015694
15606,2,0,PROMPT,None_1,0.0,0.05128180962496252
15606,2,1,TOKEN,None_6,0.05504310112886877,5.324835228359277
15606,2,2,KVCacheTransfer,DummyLink,0.05128180962496252,0.05504310112886877
15637,2,0,PROMPT,None_0,1.16,1.2329698832703044
15637,2,1,TOKEN,None_7,1.2628618803993577,5.492657934671581
15637,2,2,KVCacheTransfer,DummyLink,1.2329698832703044,1.2382112773132732
15624,2,0,PROMPT,None_2,0.6799999999999999,0.974189670334074
15624,2,1,TOKEN,None_5,1.0168482605202191,5.620821304266386
15624,2,2,KVCacheTransfer,DummyLink,0.974189670334074,0.9941901280977459
15620,2,0,PROMPT,None_2,0.54,0.5619315931929499
15620,2,1,TOKEN,None_6,0.5905284208789755,5.651454880358531
15620,2,2,KVCacheTransfer,DummyLink,0.5619315931929499,0.5635185072554499
15635,2,0,PROMPT,None_0,1.08,1.100771749322169
15635,2,1,TOKEN,None_6,1.1126749087093981,5.651454880358531
15635,2,2,KVCacheTransfer,DummyLink,1.100771749322169,1.1022747400448252
15688,2,0,PROMPT,None_0,3.0,3.026992730083631
15688,2,1,TOKEN,None_5,3.0778459847267974,5.675429020621901
15688,2,2,KVCacheTransfer,DummyLink,3.026992730083631,3.027133873882459
15648,2,0,PROMPT,None_1,1.5,1.6693428237780346
15648,2,1,TOKEN,None_8,1.6873547210118947,5.776024477278941
15648,2,2,KVCacheTransfer,DummyLink,1.6693428237780346,1.6808555801256908
15664,2,0,PROMPT,None_3,2.1399999999999997,2.1765629940835174
15664,2,1,TOKEN,None_8,2.2141319674374667,5.776024477278941
15664,2,2,KVCacheTransfer,DummyLink,2.1765629940835174,2.1792447262612518
15651,2,0,PROMPT,None_0,1.7399999999999998,1.7613516712575592
15651,2,1,TOKEN,None_6,1.781254059262857,5.784186648095293
